.HEADER
..NAMES
Time,V U1.N6
.DATA
8.2133e-09,0.8817
8.2365e-09,0.9656
8.2598e-09,1.0415
8.2831e-09,1.1002
8.3063e-09,1.1393
8.3296e-09,1.1624
8.3529e-09,1.1763
8.3761e-09,1.1871
8.3994e-09,1.1978
8.4227e-09,1.2086
8.4459e-09,1.2189
8.4692e-09,1.2288
8.4925e-09,1.2381
8.5157e-09,1.2446
8.5390e-09,1.2448
8.5623e-09,1.2370
8.5855e-09,1.2224
8.6088e-09,1.2028
8.6321e-09,1.1802
8.6553e-09,1.1566
8.6786e-09,1.1351
8.7019e-09,1.1199
8.7251e-09,1.1142
8.7484e-09,1.1193
8.7717e-09,1.1331
8.7949e-09,1.1502
8.8182e-09,1.1650
8.8415e-09,1.1736
8.8647e-09,1.1761
8.8880e-09,1.1754
8.9113e-09,1.1747
8.9345e-09,1.1757
8.9578e-09,1.1789
8.9811e-09,1.1848
9.0043e-09,1.1935
9.0276e-09,1.2043
9.0509e-09,1.2155
9.0741e-09,1.2253
9.0974e-09,1.2322
9.1207e-09,1.2353
9.1439e-09,1.2344
9.1672e-09,1.2297
9.1905e-09,1.2219
9.2137e-09,1.2119
9.2370e-09,1.2017
9.2603e-09,1.1937
9.2835e-09,1.1901
9.3068e-09,1.1915
9.3301e-09,1.1960
9.3533e-09,1.2006
9.3766e-09,1.2029
9.3999e-09,1.2019
9.4231e-09,1.1983
9.4464e-09,1.1934
9.4697e-09,1.1887
9.4929e-09,1.1852
9.5162e-09,1.1836
9.5395e-09,1.1841
9.5627e-09,1.1868
9.5860e-09,1.1912
9.6093e-09,1.1965
9.6325e-09,1.2017
9.6558e-09,1.2060
9.6791e-09,1.2091
9.7023e-09,1.2105
9.7256e-09,1.2102
9.7489e-09,1.2079
9.7721e-09,1.2043
9.7954e-09,1.2006
9.8187e-09,1.1985
9.8419e-09,1.1987
9.8652e-09,1.2011
9.8885e-09,1.2045
9.9117e-09,1.2074
9.9350e-09,1.2086
9.9583e-09,1.2079
9.9815e-09,1.2057
1.00048e-08,1.2027
1.00281e-08,1.1996
1.00513e-08,1.1969
1.00746e-08,1.1951
1.00979e-08,1.1944
1.01211e-08,1.1948
1.01444e-08,1.1928
1.01677e-08,1.1577
1.01909e-08,1.0847
1.02142e-08,0.9264
1.02375e-08,0.7884
1.02607e-08,0.6970
1.02840e-08,0.6419
1.03073e-08,0.6020
1.03305e-08,0.5734
1.03538e-08,0.5517
1.03771e-08,0.5355
1.04003e-08,0.5241
1.04236e-08,0.5166
1.04469e-08,0.5122
1.04702e-08,0.5106
1.04934e-08,0.5114
1.05167e-08,0.5136
1.05400e-08,0.5151
1.05632e-08,0.5119
1.05865e-08,0.5023
1.06098e-08,0.4848
1.06330e-08,0.4571
1.06563e-08,0.4141
1.06796e-08,0.3517
1.07028e-08,0.2745
1.07261e-08,0.1940
1.07494e-08,0.1228
1.07726e-08,0.0690
1.07959e-08,0.0333
1.08192e-08,0.0110
1.08424e-08,-0.0049
1.08657e-08,-0.0194
1.08890e-08,-0.0341
1.09122e-08,-0.0478
1.09355e-08,-0.0589
1.09588e-08,-0.0669
1.09820e-08,-0.0714
1.10053e-08,-0.0712
1.10286e-08,-0.0651
1.10518e-08,-0.0532
1.10751e-08,-0.0373
1.10984e-08,-0.0185
1.11216e-08,0.0029
1.11449e-08,0.0264
1.11682e-08,0.0492
1.11914e-08,0.0669
1.12147e-08,0.0753
1.12380e-08,0.0732
1.12612e-08,0.0629
1.12845e-08,0.0496
1.13078e-08,0.0390
1.13310e-08,0.0341
1.13543e-08,0.0339
1.13776e-08,0.0353
1.14008e-08,0.0352
1.14241e-08,0.0442
1.14474e-08,0.0862
1.14706e-08,0.2075
1.14939e-08,0.3440
1.15172e-08,0.4372
1.15404e-08,0.4908
1.15637e-08,0.5296
1.15870e-08,0.5545
1.16102e-08,0.5700
1.16335e-08,0.5838
1.16568e-08,0.5984
1.16800e-08,0.6144
1.17033e-08,0.6316
1.17266e-08,0.6476
1.17498e-08,0.6586
1.17731e-08,0.6623
1.17964e-08,0.6593
1.18196e-08,0.6553
1.18429e-08,0.6568
1.18662e-08,0.6677
1.18894e-08,0.6899
1.19127e-08,0.7283
1.19360e-08,0.7880
1.19592e-08,0.8650
1.19825e-08,0.9491
1.20058e-08,1.0276
1.20290e-08,1.0902
1.20523e-08,1.1332
1.20756e-08,1.1591
1.20988e-08,1.1742
1.21221e-08,1.1852
1.21454e-08,1.1958
1.21686e-08,1.2065
1.21919e-08,1.2168
1.22152e-08,1.2267
1.22384e-08,1.2362
1.22617e-08,1.2435
1.22850e-08,1.2453
1.23082e-08,1.2392
1.23315e-08,1.2258
1.23548e-08,1.2071
1.23780e-08,1.1849
1.24013e-08,1.1611
1.24246e-08,1.1388
1.24478e-08,1.1220
1.24711e-08,1.1142
1.24944e-08,1.1172
1.25176e-08,1.1296
1.25409e-08,1.1466
1.25642e-08,1.1623
1.25874e-08,1.1723
1.26107e-08,1.1759
1.26340e-08,1.1756
1.26572e-08,1.1528
1.26805e-08,1.1019
1.27038e-08,0.9667
1.27270e-08,0.8153
1.27503e-08,0.7212
1.27736e-08,0.6645
1.27968e-08,0.6315
1.28201e-08,0.6106
1.28434e-08,0.5961
1.28667e-08,0.5825
1.28899e-08,0.5688
1.29132e-08,0.5538
1.29365e-08,0.5380
1.29597e-08,0.5228
1.29830e-08,0.5105
1.30063e-08,0.5028
1.30295e-08,0.5009
1.30528e-08,0.5012
1.30761e-08,0.4997
1.30993e-08,0.4918
1.31226e-08,0.4729
1.31459e-08,0.4374
1.31691e-08,0.3797
1.31924e-08,0.3025
1.32157e-08,0.2169
1.32389e-08,0.1370
1.32622e-08,0.0738
1.32855e-08,0.0311
1.33087e-08,0.0063
1.33320e-08,-0.0073
1.33553e-08,-0.0164
1.33785e-08,-0.0251
1.34018e-08,-0.0343
1.34251e-08,-0.0433
1.34483e-08,-0.0514
1.34716e-08,-0.0587
1.34949e-08,-0.0640
1.35181e-08,-0.0649
1.35414e-08,-0.0596
1.35647e-08,-0.0480
1.35879e-08,-0.0305
1.36112e-08,-0.0078
1.36345e-08,0.0189
1.36577e-08,0.0459
1.36810e-08,0.0680
1.37043e-08,0.0802
1.37275e-08,0.0802
1.37508e-08,0.0697
1.37741e-08,0.0538
1.37973e-08,0.0389
1.38206e-08,0.0295
1.38439e-08,0.0267
1.38671e-08,0.0279
1.38904e-08,0.0300
1.39137e-08,0.0340
1.39369e-08,0.0600
1.39602e-08,0.1453
1.39835e-08,0.2874
1.40067e-08,0.4022
1.40300e-08,0.4683
1.40533e-08,0.5131
1.40765e-08,0.5422
1.40998e-08,0.5585
1.41231e-08,0.5720
1.41463e-08,0.5868
1.41696e-08,0.6047
1.41929e-08,0.6243
1.42161e-08,0.6437
1.42394e-08,0.6588
1.42627e-08,0.6663
1.42859e-08,0.6649
1.43092e-08,0.6593
1.43325e-08,0.6563
1.43557e-08,0.6613
1.43790e-08,0.6769
1.44023e-08,0.7066
1.44255e-08,0.7562
1.44488e-08,0.8265
1.44721e-08,0.9092
1.44953e-08,0.9922
1.45186e-08,1.0634
1.45419e-08,1.1159
1.45651e-08,1.1492
1.45884e-08,1.1680
1.46117e-08,1.1794
1.46349e-08,1.1887
1.46582e-08,1.1985
1.46815e-08,1.2087
1.47047e-08,1.2193
1.47280e-08,1.2304
1.47513e-08,1.2406
1.47745e-08,1.2464
1.47978e-08,1.2445
1.48211e-08,1.2343
1.48443e-08,1.2175
1.48676e-08,1.1962
1.48909e-08,1.1722
1.49141e-08,1.1483
1.49374e-08,1.1283
1.49607e-08,1.1159
1.49839e-08,1.1141
1.50072e-08,1.1228
1.50305e-08,1.1387
1.50537e-08,1.1559
1.50770e-08,1.1692
1.51003e-08,1.1758
1.51236e-08,1.1769
1.51468e-08,1.1717
1.51701e-08,1.1306
1.51934e-08,1.0482
1.52166e-08,0.8858
1.52399e-08,0.7523
1.52632e-08,0.6806
1.52864e-08,0.6403
1.53097e-08,0.6157
1.53330e-08,0.6006
1.53562e-08,0.5880
1.53795e-08,0.5748
1.54028e-08,0.5605
1.54260e-08,0.5448
1.54493e-08,0.5290
1.54726e-08,0.5150
1.54958e-08,0.5049
1.55191e-08,0.5005
1.55424e-08,0.5006
1.55656e-08,0.5008
1.55889e-08,0.4969
1.56122e-08,0.4840
1.56354e-08,0.4572
1.56587e-08,0.4106
1.56820e-08,0.3418
1.57052e-08,0.2579
