.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
8.1900e-09,0.8878
8.2133e-09,0.9157
8.2365e-09,0.9232
8.2598e-09,0.9124
8.2831e-09,0.8704
8.3063e-09,0.8038
8.3296e-09,0.6599
8.3529e-09,0.5134
8.3761e-09,0.4231
8.3994e-09,0.3711
8.4227e-09,0.3437
8.4459e-09,0.3371
8.4692e-09,0.3365
8.4925e-09,0.3222
8.5157e-09,0.2943
8.5390e-09,0.2640
8.5623e-09,0.2446
8.5855e-09,0.2449
8.6088e-09,0.2663
8.6321e-09,0.3045
8.6553e-09,0.3513
8.6786e-09,0.3936
8.7019e-09,0.4175
8.7251e-09,0.4153
8.7484e-09,0.3902
8.7717e-09,0.3519
8.7949e-09,0.3095
8.8182e-09,0.2723
8.8415e-09,0.2508
8.8647e-09,0.2502
8.8880e-09,0.2658
8.9113e-09,0.2898
8.9345e-09,0.3411
8.9578e-09,0.4709
8.9811e-09,0.6366
9.0043e-09,0.7469
9.0276e-09,0.8032
9.0509e-09,0.8327
9.0741e-09,0.8400
9.0974e-09,0.8415
9.1207e-09,0.8556
9.1439e-09,0.8848
9.1672e-09,0.9164
9.1905e-09,0.9355
9.2137e-09,0.9342
9.2370e-09,0.9110
9.2603e-09,0.8708
9.2835e-09,0.8218
9.3068e-09,0.7771
9.3301e-09,0.7511
9.3533e-09,0.7516
9.3766e-09,0.7760
9.3999e-09,0.8146
9.4231e-09,0.8581
9.4464e-09,0.8968
9.4697e-09,0.9197
9.4929e-09,0.9217
9.5162e-09,0.9062
9.5395e-09,0.8546
9.5627e-09,0.7732
9.5860e-09,0.6080
9.6093e-09,0.4773
9.6325e-09,0.4033
9.6558e-09,0.3577
9.6791e-09,0.3392
9.7023e-09,0.3380
9.7256e-09,0.3342
9.7489e-09,0.3155
9.7721e-09,0.2858
9.7954e-09,0.2574
9.8187e-09,0.2432
9.8419e-09,0.2494
9.8652e-09,0.2760
9.8885e-09,0.3178
9.9117e-09,0.3647
9.9350e-09,0.4030
9.9583e-09,0.4198
9.9815e-09,0.4102
1.00048e-08,0.3803
1.00281e-08,0.3399
1.00513e-08,0.2978
1.00746e-08,0.2639
1.00979e-08,0.2482
1.01211e-08,0.2531
1.01444e-08,0.2714
1.01677e-08,0.2995
1.01909e-08,0.3652
1.02142e-08,0.5205
1.02375e-08,0.6768
1.02607e-08,0.7650
1.02840e-08,0.8161
1.03073e-08,0.8385
1.03305e-08,0.8412
1.03538e-08,0.8446
1.03771e-08,0.8630
1.04003e-08,0.8943
1.04236e-08,0.9236
1.04469e-08,0.9373
1.04702e-08,0.9296
1.04934e-08,0.9011
1.05167e-08,0.8574
1.05400e-08,0.8082
1.05632e-08,0.7671
1.05865e-08,0.7480
1.06098e-08,0.7560
1.06330e-08,0.7855
1.06563e-08,0.8263
1.06796e-08,0.8697
1.07028e-08,0.9051
1.07261e-08,0.9225
1.07494e-08,0.9192
1.07726e-08,0.8950
1.07959e-08,0.8398
1.08192e-08,0.7318
1.08424e-08,0.5732
1.08657e-08,0.4530
1.08890e-08,0.3852
1.09122e-08,0.3496
1.09355e-08,0.3357
1.09588e-08,0.3365
1.09820e-08,0.3302
1.10053e-08,0.3078
1.10286e-08,0.2775
1.10518e-08,0.2518
1.10751e-08,0.2427
1.10984e-08,0.2546
1.11216e-08,0.2862
1.11449e-08,0.3306
1.11682e-08,0.3766
1.11914e-08,0.4101
1.12147e-08,0.4199
1.12380e-08,0.4041
1.12612e-08,0.3703
1.12845e-08,0.3285
1.13078e-08,0.2875
1.13310e-08,0.2577
1.13543e-08,0.2477
1.13776e-08,0.2571
1.14008e-08,0.2770
1.14241e-08,0.3113
1.14474e-08,0.3987
1.14706e-08,0.5706
1.14939e-08,0.7110
1.15172e-08,0.7880
1.15404e-08,0.8270
1.15637e-08,0.8420
1.15870e-08,0.8429
1.16102e-08,0.8483
1.16335e-08,0.8711
1.16568e-08,0.9033
1.16800e-08,0.9289
1.17033e-08,0.9369
1.17266e-08,0.9231
1.17498e-08,0.8896
1.17731e-08,0.8432
1.17964e-08,0.7948
1.18196e-08,0.7588
1.18429e-08,0.7474
1.18662e-08,0.7623
1.18894e-08,0.7960
1.19127e-08,0.8384
1.19360e-08,0.8809
1.19592e-08,0.9122
1.19825e-08,0.9237
1.20058e-08,0.9155
1.20290e-08,0.8810
1.20523e-08,0.8202
1.20756e-08,0.6915
1.20988e-08,0.5402
1.21221e-08,0.4339
1.21454e-08,0.3723
1.21686e-08,0.3415
1.21919e-08,0.3355
1.22152e-08,0.3357
1.22384e-08,0.3249
1.22617e-08,0.2996
1.22850e-08,0.2691
1.23082e-08,0.2470
1.23315e-08,0.2436
1.23548e-08,0.2614
1.23780e-08,0.2973
1.24013e-08,0.3435
1.24246e-08,0.3876
1.24478e-08,0.4155
1.24711e-08,0.4179
1.24944e-08,0.3962
1.25176e-08,0.3593
1.25409e-08,0.3169
1.25642e-08,0.2779
1.25874e-08,0.2529
