.HEADER
..NAMES
Time,V U1.J1
.DATA
8.5623e-09,-0.0077
8.5855e-09,-0.0051
8.6088e-09,-0.0003
8.6321e-09,0.0056
8.6553e-09,0.0108
8.6786e-09,0.0146
8.7019e-09,0.0163
8.7251e-09,0.0161
8.7484e-09,0.0143
8.7717e-09,0.0114
8.7949e-09,0.0077
8.8182e-09,0.0036
8.8415e-09,-0.0006
8.8647e-09,-0.0043
8.8880e-09,-0.0072
8.9113e-09,-0.0086
8.9345e-09,-0.0084
8.9578e-09,-0.0066
8.9811e-09,-0.0033
9.0043e-09,0.0010
9.0276e-09,0.0053
9.0509e-09,0.0087
9.0741e-09,0.0104
9.0974e-09,0.0101
9.1207e-09,0.0079
9.1439e-09,0.0045
9.1672e-09,0.0009
9.1905e-09,-0.0022
9.2137e-09,-0.0041
9.2370e-09,-0.0048
9.2603e-09,-0.0043
9.2835e-09,-0.0030
9.3068e-09,-0.0012
9.3301e-09,0.0010
9.3533e-09,0.0033
9.3766e-09,0.0056
9.3999e-09,0.0075
9.4231e-09,0.0087
9.4464e-09,0.0091
9.4697e-09,0.0083
9.4929e-09,0.0066
9.5162e-09,0.0041
9.5395e-09,0.0012
9.5627e-09,-0.0014
9.5860e-09,-0.0032
9.6093e-09,-0.0037
9.6325e-09,-0.0029
9.6558e-09,-0.0011
9.6791e-09,0.0013
9.7023e-09,0.0036
9.7256e-09,0.0054
9.7489e-09,0.0063
9.7721e-09,0.0064
9.7954e-09,0.0059
9.8187e-09,0.0050
9.8419e-09,0.0039
9.8652e-09,0.0025
9.8885e-09,0.0011
9.9117e-09,-0.0001
9.9350e-09,-0.0012
9.9583e-09,-0.0017
9.9815e-09,-0.0016
1.00048e-08,-0.0009
1.00281e-08,0.0005
1.00513e-08,0.0022
1.00746e-08,0.0040
1.00979e-08,0.0054
1.01211e-08,0.0062
1.01444e-08,0.0062
1.01677e-08,0.0053
1.01909e-08,0.0039
1.02142e-08,0.0023
1.02375e-08,0.0009
1.02607e-08,0.0000
1.02840e-08,-0.0003
1.03073e-08,-0.0002
1.03305e-08,0.0002
1.03538e-08,0.0008
1.03771e-08,0.0016
1.04003e-08,0.0025
1.04236e-08,0.0033
1.04469e-08,0.0040
1.04702e-08,0.0046
1.04934e-08,0.0048
1.05167e-08,0.0046
1.05400e-08,0.0039
1.05632e-08,0.0030
1.05865e-08,0.0018
1.06098e-08,0.0008
1.06330e-08,0.0000
1.06563e-08,-0.0002
1.06796e-08,0.0000
1.07028e-08,0.0008
1.07261e-08,0.0018
1.07494e-08,0.0028
1.07726e-08,0.0035
1.07959e-08,0.0040
1.08192e-08,0.0040
1.08424e-08,0.0039
1.08657e-08,0.0035
1.08890e-08,0.0031
1.09122e-08,0.0026
1.09355e-08,0.0021
1.09588e-08,0.0015
1.09820e-08,0.0011
1.10053e-08,0.0009
1.10286e-08,0.0008
1.10518e-08,0.0011
1.10751e-08,0.0016
1.10984e-08,0.0022
1.11216e-08,0.0030
1.11449e-08,0.0036
1.11682e-08,0.0039
1.11914e-08,0.0039
1.12147e-08,0.0036
1.12380e-08,0.0031
1.12612e-08,0.0024
1.12845e-08,0.0018
1.13078e-08,0.0014
1.13310e-08,0.0013
1.13543e-08,0.0013
1.13776e-08,0.0015
1.14008e-08,0.0017
1.14241e-08,0.0020
1.14474e-08,0.0024
1.14706e-08,0.0027
1.14939e-08,0.0030
1.15172e-08,0.0032
1.15404e-08,0.0033
1.15637e-08,0.0033
1.15870e-08,0.0031
1.16102e-08,0.0027
1.16335e-08,0.0023
1.16568e-08,0.0018
1.16800e-08,0.0015
1.17033e-08,0.0014
1.17266e-08,0.0014
1.17498e-08,0.0017
1.17731e-08,0.0021
1.17964e-08,0.0025
1.18196e-08,0.0029
1.18429e-08,0.0030
1.18662e-08,0.0031
1.18894e-08,0.0030
1.19127e-08,0.0029
1.19360e-08,0.0027
1.19592e-08,0.0025
1.19825e-08,0.0023
1.20058e-08,0.0021
1.20290e-08,0.0019
1.20523e-08,0.0018
1.20756e-08,0.0018
1.20988e-08,0.0019
1.21221e-08,0.0020
1.21454e-08,0.0023
1.21686e-08,0.0026
1.21919e-08,0.0029
1.22152e-08,0.0030
1.22384e-08,0.0031
1.22617e-08,0.0029
1.22850e-08,0.0027
1.23082e-08,0.0025
1.23315e-08,0.0022
1.23548e-08,0.0020
1.23780e-08,0.0020
1.24013e-08,0.0020
1.24246e-08,0.0021
1.24478e-08,0.0022
1.24711e-08,0.0023
1.24944e-08,0.0024
1.25176e-08,0.0025
1.25409e-08,0.0026
1.25642e-08,0.0027
1.25874e-08,0.0028
1.26107e-08,0.0028
1.26340e-08,0.0027
1.26572e-08,0.0039
1.26805e-08,0.0223
1.27038e-08,0.0876
1.27270e-08,0.2345
1.27503e-08,0.3742
1.27736e-08,0.4883
1.27968e-08,0.5705
1.28201e-08,0.6186
1.28434e-08,0.6458
1.28667e-08,0.6575
1.28899e-08,0.6613
1.29132e-08,0.6612
1.29365e-08,0.6567
1.29597e-08,0.6516
1.29830e-08,0.6469
1.30063e-08,0.6435
1.30295e-08,0.6418
1.30528e-08,0.6423
1.30761e-08,0.6453
1.30993e-08,0.6499
1.31226e-08,0.6562
1.31459e-08,0.6641
1.31691e-08,0.6741
1.31924e-08,0.6877
1.32157e-08,0.7077
1.32389e-08,0.7408
1.32622e-08,0.7886
1.32855e-08,0.8479
1.33087e-08,0.9147
1.33320e-08,0.9845
1.33553e-08,1.0507
1.33785e-08,1.1079
1.34018e-08,1.1539
1.34251e-08,1.1896
1.34483e-08,1.2163
1.34716e-08,1.2344
1.34949e-08,1.2447
1.35181e-08,1.2491
1.35414e-08,1.2492
1.35647e-08,1.2465
1.35879e-08,1.2421
1.36112e-08,1.2372
1.36345e-08,1.2331
1.36577e-08,1.2307
1.36810e-08,1.2309
1.37043e-08,1.2332
1.37275e-08,1.2355
1.37508e-08,1.2347
1.37741e-08,1.2286
1.37973e-08,1.2168
1.38206e-08,1.2000
1.38439e-08,1.1805
1.38671e-08,1.1620
1.38904e-08,1.1479
1.39137e-08,1.1394
1.39369e-08,1.1362
1.39602e-08,1.1374
1.39835e-08,1.1425
1.40067e-08,1.1504
1.40300e-08,1.1600
1.40533e-08,1.1702
1.40765e-08,1.1803
1.40998e-08,1.1897
1.41231e-08,1.1977
1.41463e-08,1.2036
1.41696e-08,1.2068
1.41929e-08,1.2069
1.42161e-08,1.2043
1.42394e-08,1.1998
1.42627e-08,1.1955
1.42859e-08,1.1931
1.43092e-08,1.1940
1.43325e-08,1.1988
1.43557e-08,1.2064
1.43790e-08,1.2147
1.44023e-08,1.2215
1.44255e-08,1.2256
1.44488e-08,1.2268
1.44721e-08,1.2252
1.44953e-08,1.2215
1.45186e-08,1.2164
1.45419e-08,1.2108
1.45651e-08,1.2051
1.45884e-08,1.1997
1.46117e-08,1.1949
1.46349e-08,1.1911
1.46582e-08,1.1887
