.HEADER
..NAMES
Time,V U1.E1&E2
.DATA
9.3766e-09,0.9033
9.3999e-09,0.7572
9.4231e-09,0.6631
9.4464e-09,0.5996
9.4697e-09,0.5528
9.4929e-09,0.5208
9.5162e-09,0.5146
9.5395e-09,0.5316
9.5627e-09,0.5477
9.5860e-09,0.5522
9.6093e-09,0.5459
9.6325e-09,0.5366
9.6558e-09,0.5331
9.6791e-09,0.5344
9.7023e-09,0.5295
9.7256e-09,0.5201
9.7489e-09,0.5265
9.7721e-09,0.6022
9.7954e-09,0.8032
9.8187e-09,0.9799
9.8419e-09,1.0914
9.8652e-09,1.1657
9.8885e-09,1.2200
9.9117e-09,1.2523
9.9350e-09,1.2513
9.9583e-09,1.2255
9.9815e-09,1.2023
1.00048e-08,1.1923
1.00281e-08,1.1931
1.00513e-08,1.1954
1.00746e-08,1.1915
1.00979e-08,1.1848
1.01211e-08,1.1869
1.01444e-08,1.1868
1.01677e-08,1.1468
1.01909e-08,1.0470
1.02142e-08,0.8698
1.02375e-08,0.7332
1.02607e-08,0.6491
1.02840e-08,0.5895
1.03073e-08,0.5447
1.03305e-08,0.5172
1.03538e-08,0.5171
1.03771e-08,0.5357
1.04003e-08,0.5498
1.04236e-08,0.5517
1.04469e-08,0.5439
1.04702e-08,0.5352
1.04934e-08,0.5333
1.05167e-08,0.5342
1.05400e-08,0.5276
1.05632e-08,0.5186
1.05865e-08,0.5329
1.06098e-08,0.6330
1.06330e-08,0.8401
1.06563e-08,1.0017
1.06796e-08,1.1066
1.07028e-08,1.1805
1.07261e-08,1.2284
1.07494e-08,1.2543
1.07726e-08,1.2473
1.07959e-08,1.2201
1.08192e-08,1.1994
1.08424e-08,1.1919
1.08657e-08,1.1938
1.08890e-08,1.1952
1.09122e-08,1.1900
1.09355e-08,1.1844
1.09588e-08,1.1883
1.09820e-08,1.1806
1.10053e-08,1.1342
1.10286e-08,1.0126
1.10518e-08,0.8393
1.10751e-08,0.7145
1.10984e-08,0.6352
1.11216e-08,0.5799
1.11449e-08,0.5376
1.11682e-08,0.5150
1.11914e-08,0.5202
1.12147e-08,0.5395
1.12380e-08,0.5512
1.12612e-08,0.5508
1.12845e-08,0.5419
1.13078e-08,0.5342
1.13310e-08,0.5336
1.13543e-08,0.5335
1.13776e-08,0.5256
1.14008e-08,0.5183
1.14241e-08,0.5405
1.14474e-08,0.6715
1.14706e-08,0.8856
1.14939e-08,1.0235
1.15172e-08,1.1271
1.15404e-08,1.1899
1.15637e-08,1.2358
1.15870e-08,1.2556
1.16102e-08,1.2425
