.HEADER
..NAMES
Time,V U1.G5
.DATA
1.03538e-08,-0.1015
1.03771e-08,-0.1053
1.04003e-08,-0.1076
1.04236e-08,-0.1085
1.04469e-08,-0.1086
1.04702e-08,-0.1082
1.04934e-08,-0.1074
1.05167e-08,-0.1050
1.05400e-08,-0.0990
1.05632e-08,-0.0872
1.05865e-08,-0.0688
1.06098e-08,-0.0450
1.06330e-08,-0.0182
1.06563e-08,0.0090
1.06796e-08,0.0345
1.07028e-08,0.0573
1.07261e-08,0.0764
1.07494e-08,0.0906
1.07726e-08,0.0981
1.07959e-08,0.1120
1.08192e-08,0.1625
1.08424e-08,0.2925
1.08657e-08,0.4284
1.08890e-08,0.5152
1.09122e-08,0.5701
1.09355e-08,0.6013
1.09588e-08,0.6150
1.09820e-08,0.6232
1.10053e-08,0.6308
1.10286e-08,0.6402
1.10518e-08,0.6486
1.10751e-08,0.6551
1.10984e-08,0.6579
1.11216e-08,0.6545
1.11449e-08,0.6446
1.11682e-08,0.6287
1.11914e-08,0.5959
1.12147e-08,0.5441
1.12380e-08,0.4189
1.12612e-08,0.2654
1.12845e-08,0.1427
1.13078e-08,0.0643
1.13310e-08,0.0415
1.13543e-08,0.0621
1.13776e-08,0.1095
1.14008e-08,0.1746
1.14241e-08,0.2438
1.14474e-08,0.3101
1.14706e-08,0.3662
1.14939e-08,0.4075
1.15172e-08,0.4348
1.15404e-08,0.4519
1.15637e-08,0.4657
1.15870e-08,0.4818
1.16102e-08,0.5053
1.16335e-08,0.5586
1.16568e-08,0.7212
1.16800e-08,0.9492
1.17033e-08,1.1124
1.17266e-08,1.1926
1.17498e-08,1.2024
1.17731e-08,1.1651
1.17964e-08,1.0943
1.18196e-08,1.0044
1.18429e-08,0.9108
1.18662e-08,0.8229
1.18894e-08,0.7485
1.19127e-08,0.6935
1.19360e-08,0.6560
1.19592e-08,0.6306
1.19825e-08,0.6098
1.20058e-08,0.5875
1.20290e-08,0.5607
1.20523e-08,0.5324
1.20756e-08,0.5071
1.20988e-08,0.4895
1.21221e-08,0.4850
1.21454e-08,0.4987
1.21686e-08,0.5315
1.21919e-08,0.5876
1.22152e-08,0.6678
1.22384e-08,0.7686
1.22617e-08,0.8827
1.22850e-08,0.9973
1.23082e-08,1.0995
1.23315e-08,1.1799
1.23548e-08,1.2343
1.23780e-08,1.2656
1.24013e-08,1.2801
1.24246e-08,1.2850
1.24478e-08,1.2861
1.24711e-08,1.2864
1.24944e-08,1.2872
1.25176e-08,1.2889
1.25409e-08,1.2913
1.25642e-08,1.2936
1.25874e-08,1.2942
1.26107e-08,1.2900
1.26340e-08,1.2784
1.26572e-08,1.2578
1.26805e-08,1.2297
1.27038e-08,1.1974
1.27270e-08,1.1654
1.27503e-08,1.1371
1.27736e-08,1.1144
1.27968e-08,1.0976
1.28201e-08,1.0869
1.28434e-08,1.0824
1.28667e-08,1.0534
1.28899e-08,1.0048
1.29132e-08,0.8582
1.29365e-08,0.7242
1.29597e-08,0.6412
1.29830e-08,0.5977
1.30063e-08,0.5757
1.30295e-08,0.5651
1.30528e-08,0.5559
1.30761e-08,0.5455
1.30993e-08,0.5332
1.31226e-08,0.5229
1.31459e-08,0.5161
1.31691e-08,0.5148
1.31924e-08,0.5202
1.32157e-08,0.5323
1.32389e-08,0.5499
1.32622e-08,0.5691
1.32855e-08,0.5935
1.33087e-08,0.6591
1.33320e-08,0.8535
1.33553e-08,1.0169
1.33785e-08,1.1169
1.34018e-08,1.1470
1.34251e-08,1.1191
1.34483e-08,1.0654
1.34716e-08,0.9923
1.34949e-08,0.9149
1.35181e-08,0.8430
1.35414e-08,0.7827
1.35647e-08,0.7389
1.35879e-08,0.7124
1.36112e-08,0.6972
1.36345e-08,0.6858
1.36577e-08,0.6699
1.36810e-08,0.6445
1.37043e-08,0.6100
1.37275e-08,0.5721
1.37508e-08,0.5376
1.37741e-08,0.5139
1.37973e-08,0.5097
1.38206e-08,0.5298
1.38439e-08,0.5769
1.38671e-08,0.6528
1.38904e-08,0.7519
1.39137e-08,0.8654
1.39369e-08,0.9805
1.39602e-08,1.0826
1.39835e-08,1.1618
1.40067e-08,1.2136
1.40300e-08,1.2407
1.40533e-08,1.2511
1.40765e-08,1.2535
1.40998e-08,1.2517
1.41231e-08,1.2149
1.41463e-08,1.1384
1.41696e-08,0.9825
1.41929e-08,0.8505
1.42161e-08,0.7798
1.42394e-08,0.7414
1.42627e-08,0.7187
1.42859e-08,0.6993
1.43092e-08,0.6710
1.43325e-08,0.6303
1.43557e-08,0.5791
1.43790e-08,0.5251
1.44023e-08,0.4757
1.44255e-08,0.4365
1.44488e-08,0.4107
1.44721e-08,0.3998
1.44953e-08,0.4028
1.45186e-08,0.4179
1.45419e-08,0.4419
1.45651e-08,0.4686
1.45884e-08,0.4915
1.46117e-08,0.5047
1.46349e-08,0.5009
