.HEADER
..NAMES
Time,V U1.F1
.DATA
1.03305e-08,1.2276
1.03538e-08,1.1993
1.03771e-08,1.1341
1.04003e-08,1.0149
1.04236e-08,0.8311
1.04469e-08,0.6786
1.04702e-08,0.5776
1.04934e-08,0.5105
1.05167e-08,0.4812
1.05400e-08,0.4805
1.05632e-08,0.4898
1.05865e-08,0.4988
1.06098e-08,0.5097
1.06330e-08,0.5216
1.06563e-08,0.5272
1.06796e-08,0.5236
1.07028e-08,0.5160
1.07261e-08,0.5102
1.07494e-08,0.5046
1.07726e-08,0.4985
1.07959e-08,0.4964
1.08192e-08,0.5021
1.08424e-08,0.5128
1.08657e-08,0.5229
1.08890e-08,0.5310
1.09122e-08,0.5364
1.09355e-08,0.5325
1.09588e-08,0.5118
1.09820e-08,0.4722
1.10053e-08,0.4180
1.10286e-08,0.3529
1.10518e-08,0.2794
1.10751e-08,0.2041
1.10984e-08,0.1366
1.11216e-08,0.0815
1.11449e-08,0.0371
1.11682e-08,0.0017
1.11914e-08,-0.0233
1.12147e-08,-0.0228
1.12380e-08,0.0167
1.12612e-08,0.1359
1.12845e-08,0.2754
1.13078e-08,0.3839
1.13310e-08,0.4743
1.13543e-08,0.5364
1.13776e-08,0.5595
1.14008e-08,0.5622
1.14241e-08,0.5579
1.14474e-08,0.5503
1.14706e-08,0.5385
1.14939e-08,0.5315
1.15172e-08,0.5373
1.15404e-08,0.5549
1.15637e-08,0.5787
1.15870e-08,0.6066
1.16102e-08,0.6388
1.16335e-08,0.6688
1.16568e-08,0.6887
1.16800e-08,0.6969
1.17033e-08,0.6987
1.17266e-08,0.6987
1.17498e-08,0.6955
1.17731e-08,0.6944
1.17964e-08,0.7038
1.18196e-08,0.7275
1.18429e-08,0.7636
1.18662e-08,0.8093
1.18894e-08,0.8655
1.19127e-08,0.9295
1.19360e-08,0.9938
1.19592e-08,1.0516
1.19825e-08,1.1021
1.20058e-08,1.1460
1.20290e-08,1.1804
1.20523e-08,1.2023
1.20756e-08,1.2134
1.20988e-08,1.2175
1.21221e-08,1.2160
1.21454e-08,1.2089
1.21686e-08,1.1993
1.21919e-08,1.1926
1.22152e-08,1.1915
1.22384e-08,1.1950
1.22617e-08,1.2022
1.22850e-08,1.2128
1.23082e-08,1.2250
1.23315e-08,1.2347
1.23548e-08,1.2390
1.23780e-08,1.2379
1.24013e-08,1.2318
1.24246e-08,1.2206
1.24478e-08,1.1777
1.24711e-08,1.1070
1.24944e-08,0.9383
1.25176e-08,0.7700
1.25409e-08,0.6379
1.25642e-08,0.5509
1.25874e-08,0.4967
1.26107e-08,0.4809
1.26340e-08,0.4849
1.26572e-08,0.4940
1.26805e-08,0.5046
1.27038e-08,0.5188
1.27270e-08,0.5310
1.27503e-08,0.5345
1.27736e-08,0.5299
1.27968e-08,0.5234
1.28201e-08,0.5176
1.28434e-08,0.5094
1.28667e-08,0.5072
1.28899e-08,0.5483
1.29132e-08,0.7311
1.29365e-08,0.9256
1.29597e-08,1.0694
1.29830e-08,1.1726
1.30063e-08,1.2205
1.30295e-08,1.2209
1.30528e-08,1.1818
1.30761e-08,1.1260
1.30993e-08,1.0624
1.31226e-08,0.9863
1.31459e-08,0.9038
1.31691e-08,0.8320
1.31924e-08,0.7774
1.32157e-08,0.7315
1.32389e-08,0.6879
1.32622e-08,0.6511
1.32855e-08,0.6009
1.33087e-08,0.5192
1.33320e-08,0.3466
1.33553e-08,0.1835
1.33785e-08,0.0687
1.34018e-08,-0.0222
1.34251e-08,-0.0666
1.34483e-08,-0.0619
1.34716e-08,-0.0263
1.34949e-08,0.0295
1.35181e-08,0.0932
1.35414e-08,0.1646
1.35647e-08,0.2397
1.35879e-08,0.3096
1.36112e-08,0.3690
1.36345e-08,0.4219
1.36577e-08,0.4729
1.36810e-08,0.5200
1.37043e-08,0.5591
1.37275e-08,0.5902
1.37508e-08,0.6165
1.37741e-08,0.6358
1.37973e-08,0.6431
1.38206e-08,0.6380
1.38439e-08,0.6225
1.38671e-08,0.5959
1.38904e-08,0.5542
1.39137e-08,0.4975
1.39369e-08,0.4306
1.39602e-08,0.3580
1.39835e-08,0.2828
1.40067e-08,0.2091
1.40300e-08,0.1426
1.40533e-08,0.0855
1.40765e-08,0.0361
1.40998e-08,-0.0067
1.41231e-08,-0.0329
1.41463e-08,-0.0262
1.41696e-08,0.0484
1.41929e-08,0.1765
1.42161e-08,0.2718
1.42394e-08,0.3590
1.42627e-08,0.4251
1.42859e-08,0.4593
1.43092e-08,0.4744
1.43325e-08,0.4824
1.43557e-08,0.4926
1.43790e-08,0.5002
1.44023e-08,0.5073
1.44255e-08,0.5219
1.44488e-08,0.5459
1.44721e-08,0.5739
1.44953e-08,0.6004
1.45186e-08,0.6283
1.45419e-08,0.6568
1.45651e-08,0.6789
1.45884e-08,0.6901
1.46117e-08,0.6943
1.46349e-08,0.6979
1.46582e-08,0.7004
1.46815e-08,0.7030
1.47047e-08,0.7123
1.47280e-08,0.7339
1.47513e-08,0.7679
1.47745e-08,0.8103
1.47978e-08,0.8607
1.48211e-08,0.9192
1.48443e-08,0.9799
1.48676e-08,1.0350
1.48909e-08,1.0815
1.49141e-08,1.1208
1.49374e-08,1.1526
1.49607e-08,1.1740
1.49839e-08,1.1855
1.50072e-08,1.1916
1.50305e-08,1.1951
1.50537e-08,1.1950
1.50770e-08,1.1914
