.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
9.7256e-09,0.3903
9.7489e-09,0.3980
9.7721e-09,0.4409
9.7954e-09,0.5828
9.8187e-09,0.7202
9.8419e-09,0.8026
9.8652e-09,0.8589
9.8885e-09,0.8961
9.9117e-09,0.9126
9.9350e-09,0.9203
9.9583e-09,0.9288
9.9815e-09,0.9361
1.00048e-08,0.9340
1.00281e-08,0.9190
1.00513e-08,0.8926
1.00746e-08,0.8592
1.00979e-08,0.8251
1.01211e-08,0.7965
1.01444e-08,0.7718
1.01677e-08,0.7395
1.01909e-08,0.6589
1.02142e-08,0.5343
1.02375e-08,0.4318
1.02607e-08,0.3647
1.02840e-08,0.3141
1.03073e-08,0.2828
1.03305e-08,0.2707
1.03538e-08,0.2608
1.03771e-08,0.2500
1.04003e-08,0.2436
1.04236e-08,0.2474
1.04469e-08,0.2637
1.04702e-08,0.2900
1.04934e-08,0.3223
1.05167e-08,0.3543
1.05400e-08,0.3794
1.05632e-08,0.3912
1.05865e-08,0.4010
1.06098e-08,0.4611
1.06330e-08,0.6112
1.06563e-08,0.7360
1.06796e-08,0.8160
1.07028e-08,0.8684
1.07261e-08,0.9002
1.07494e-08,0.9144
1.07726e-08,0.9217
1.07959e-08,0.9306
1.08192e-08,0.9366
1.08424e-08,0.9320
1.08657e-08,0.9146
1.08890e-08,0.8864
1.09122e-08,0.8523
1.09355e-08,0.8188
1.09588e-08,0.7921
1.09820e-08,0.7645
1.10053e-08,0.7298
1.10286e-08,0.6377
1.10518e-08,0.5126
1.10751e-08,0.4182
1.10984e-08,0.3545
1.11216e-08,0.3049
1.11449e-08,0.2798
1.11682e-08,0.2693
1.11914e-08,0.2584
1.12147e-08,0.2482
1.12380e-08,0.2435
1.12612e-08,0.2496
1.12845e-08,0.2682
1.13078e-08,0.2961
1.13310e-08,0.3287
1.13543e-08,0.3600
1.13776e-08,0.3830
1.14008e-08,0.3923
1.14241e-08,0.4046
1.14474e-08,0.4860
1.14706e-08,0.6456
1.14939e-08,0.7519
1.15172e-08,0.8300
1.15404e-08,0.8770
1.15637e-08,0.9043
1.15870e-08,0.9157
1.16102e-08,0.9236
1.16335e-08,0.9322
1.16568e-08,0.9367
1.16800e-08,0.9295
