.HEADER
..NAMES
Time,V U1.K1
.DATA
7.8410e-09,0.5706
7.8642e-09,0.5681
7.8875e-09,0.5673
7.9108e-09,0.5664
7.9340e-09,0.5647
7.9573e-09,0.5625
7.9806e-09,0.5570
8.0038e-09,0.5462
8.0271e-09,0.5305
8.0504e-09,0.5112
8.0736e-09,0.4908
8.0969e-09,0.4721
8.1202e-09,0.4567
8.1435e-09,0.4456
8.1667e-09,0.4377
8.1900e-09,0.4326
8.2133e-09,0.4281
8.2365e-09,0.4186
8.2598e-09,0.3959
8.2831e-09,0.3561
8.3063e-09,0.3039
8.3296e-09,0.2452
8.3529e-09,0.1834
8.3761e-09,0.1226
8.3994e-09,0.0683
8.4227e-09,0.0243
8.4459e-09,-0.0088
8.4692e-09,-0.0328
8.4925e-09,-0.0500
8.5157e-09,-0.0615
8.5390e-09,-0.0676
8.5623e-09,-0.0687
8.5855e-09,-0.0658
8.6088e-09,-0.0605
8.6321e-09,-0.0545
8.6553e-09,-0.0493
8.6786e-09,-0.0459
8.7019e-09,-0.0448
8.7251e-09,-0.0463
8.7484e-09,-0.0511
8.7717e-09,-0.0576
8.7949e-09,-0.0623
8.8182e-09,-0.0609
8.8415e-09,-0.0517
8.8647e-09,-0.0363
8.8880e-09,-0.0167
8.9113e-09,0.0049
8.9345e-09,0.0257
8.9578e-09,0.0420
8.9811e-09,0.0517
9.0043e-09,0.0552
9.0276e-09,0.0542
9.0509e-09,0.0506
9.0741e-09,0.0457
9.0974e-09,0.0399
9.1207e-09,0.0333
9.1439e-09,0.0264
9.1672e-09,0.0196
9.1905e-09,0.0136
9.2137e-09,0.0088
9.2370e-09,0.0055
9.2603e-09,0.0039
9.2835e-09,0.0048
9.3068e-09,0.0082
9.3301e-09,0.0192
9.3533e-09,0.0561
9.3766e-09,0.1594
9.3999e-09,0.3199
9.4231e-09,0.4369
9.4464e-09,0.5204
9.4697e-09,0.5814
9.4929e-09,0.6082
9.5162e-09,0.6186
9.5395e-09,0.6212
9.5627e-09,0.6241
9.5860e-09,0.6283
9.6093e-09,0.6337
9.6325e-09,0.6400
9.6558e-09,0.6468
9.6791e-09,0.6542
9.7023e-09,0.6609
9.7256e-09,0.6666
9.7489e-09,0.6712
9.7721e-09,0.6727
9.7954e-09,0.6710
9.8187e-09,0.6686
9.8419e-09,0.6682
9.8652e-09,0.6699
9.8885e-09,0.6734
9.9117e-09,0.6823
9.9350e-09,0.7045
9.9583e-09,0.7460
9.9815e-09,0.8044
1.00048e-08,0.8733
1.00281e-08,0.9477
1.00513e-08,1.0215
1.00746e-08,1.0866
1.00979e-08,1.1380
1.01211e-08,1.1748
1.01444e-08,1.1994
1.01677e-08,1.2149
1.01909e-08,1.2241
1.02142e-08,1.2292
1.02375e-08,1.2316
1.02607e-08,1.2322
1.02840e-08,1.2321
1.03073e-08,1.2325
1.03305e-08,1.2346
1.03538e-08,1.2380
1.03771e-08,1.2415
1.04003e-08,1.2448
1.04236e-08,1.2485
1.04469e-08,1.2526
1.04702e-08,1.2551
1.04934e-08,1.2525
1.05167e-08,1.2426
1.05400e-08,1.2261
1.05632e-08,1.2045
1.05865e-08,1.1802
1.06098e-08,1.1566
1.06330e-08,1.1385
1.06563e-08,1.1288
1.06796e-08,1.1278
1.07028e-08,1.1335
1.07261e-08,1.1432
1.07494e-08,1.1541
1.07726e-08,1.1644
1.07959e-08,1.1734
1.08192e-08,1.1809
1.08424e-08,1.1867
1.08657e-08,1.1906
1.08890e-08,1.1924
1.09122e-08,1.1928
