.HEADER
..NAMES
Time,V U1.L5
.DATA
1.21454e-08,0.5075
1.21686e-08,0.5011
1.21919e-08,0.4966
1.22152e-08,0.4945
1.22384e-08,0.4955
1.22617e-08,0.4969
1.22850e-08,0.4960
1.23082e-08,0.4905
1.23315e-08,0.4791
1.23548e-08,0.4582
1.23780e-08,0.4219
1.24013e-08,0.3675
1.24246e-08,0.2989
1.24478e-08,0.2242
1.24711e-08,0.1534
1.24944e-08,0.0938
1.25176e-08,0.0488
1.25409e-08,0.0170
1.25642e-08,-0.0048
1.25874e-08,-0.0205
1.26107e-08,-0.0329
1.26340e-08,-0.0432
1.26572e-08,-0.0485
1.26805e-08,-0.0326
1.27038e-08,0.0314
1.27270e-08,0.1644
1.27503e-08,0.2891
1.27736e-08,0.3668
1.27968e-08,0.4314
1.28201e-08,0.4778
1.28434e-08,0.5111
1.28667e-08,0.5421
1.28899e-08,0.5742
1.29132e-08,0.6102
1.29365e-08,0.6473
1.29597e-08,0.6828
1.29830e-08,0.7116
1.30063e-08,0.7307
1.30295e-08,0.7380
1.30528e-08,0.7344
1.30761e-08,0.7226
1.30993e-08,0.7081
1.31226e-08,0.6967
1.31459e-08,0.6931
1.31691e-08,0.6986
1.31924e-08,0.7129
1.32157e-08,0.7377
1.32389e-08,0.7776
1.32622e-08,0.8334
1.32855e-08,0.9003
1.33087e-08,0.9701
1.33320e-08,1.0333
1.33553e-08,1.0830
1.33785e-08,1.1172
1.34018e-08,1.1381
1.34251e-08,1.1501
1.34483e-08,1.1585
1.34716e-08,1.1672
1.34949e-08,1.1783
1.35181e-08,1.1919
1.35414e-08,1.2071
1.35647e-08,1.2231
1.35879e-08,1.2388
1.36112e-08,1.2520
1.36345e-08,1.2597
1.36577e-08,1.2597
1.36810e-08,1.2525
1.37043e-08,1.2402
1.37275e-08,1.2250
1.37508e-08,1.2079
1.37741e-08,1.1894
1.37973e-08,1.1706
1.38206e-08,1.1537
1.38439e-08,1.1417
1.38671e-08,1.1372
1.38904e-08,1.1408
1.39137e-08,1.1509
1.39369e-08,1.1638
1.39602e-08,1.1754
1.39835e-08,1.1824
1.40067e-08,1.1838
1.40300e-08,1.1810
1.40533e-08,1.1768
1.40765e-08,1.1733
1.40998e-08,1.1715
1.41231e-08,1.1718
1.41463e-08,1.1747
1.41696e-08,1.1805
1.41929e-08,1.1889
1.42161e-08,1.1986
1.42394e-08,1.2082
1.42627e-08,1.2162
1.42859e-08,1.2220
1.43092e-08,1.2182
1.43325e-08,1.1779
1.43557e-08,1.0863
1.43790e-08,0.9130
1.44023e-08,0.7756
1.44255e-08,0.6869
1.44488e-08,0.6239
1.44721e-08,0.5828
1.44953e-08,0.5575
1.45186e-08,0.5423
1.45419e-08,0.5340
1.45651e-08,0.5282
1.45884e-08,0.5230
1.46117e-08,0.5168
1.46349e-08,0.5105
1.46582e-08,0.5038
1.46815e-08,0.4983
1.47047e-08,0.4949
1.47280e-08,0.4948
1.47513e-08,0.4963
1.47745e-08,0.4967
1.47978e-08,0.4931
1.48211e-08,0.4845
1.48443e-08,0.4682
1.48676e-08,0.4388
1.48909e-08,0.3916
1.49141e-08,0.3278
1.49374e-08,0.2544
1.49607e-08,0.1809
1.49839e-08,0.1162
1.50072e-08,0.0653
1.50305e-08,0.0286
1.50537e-08,0.0032
1.50770e-08,-0.0147
1.51003e-08,-0.0283
1.51236e-08,-0.0394
1.51468e-08,-0.0485
1.51701e-08,-0.0424
1.51934e-08,-0.0096
1.52166e-08,0.1088
1.52399e-08,0.2399
1.52632e-08,0.3417
1.52864e-08,0.4060
1.53097e-08,0.4607
1.53330e-08,0.4983
1.53562e-08,0.5297
1.53795e-08,0.5609
1.54028e-08,0.5953
1.54260e-08,0.6320
1.54493e-08,0.6690
1.54726e-08,0.7012
1.54958e-08,0.7244
1.55191e-08,0.7364
1.55424e-08,0.7370
1.55656e-08,0.7279
1.55889e-08,0.7138
1.56122e-08,0.7005
1.56354e-08,0.6935
1.56587e-08,0.6953
1.56820e-08,0.7062
1.57052e-08,0.7263
1.57285e-08,0.7599
1.57518e-08,0.8096
1.57750e-08,0.8730
1.57983e-08,0.9429
1.58216e-08,1.0098
1.58448e-08,1.0654
1.58681e-08,1.1057
1.58914e-08,1.1313
1.59146e-08,1.1461
1.59379e-08,1.1553
1.59612e-08,1.1634
1.59844e-08,1.1512
1.60077e-08,1.1120
1.60310e-08,0.9875
1.60542e-08,0.8454
1.60775e-08,0.7544
1.61008e-08,0.7017
1.61240e-08,0.6693
1.61473e-08,0.6445
1.61706e-08,0.6205
1.61938e-08,0.5945
1.62171e-08,0.5669
1.62404e-08,0.5390
1.62636e-08,0.5112
1.62869e-08,0.4851
1.63102e-08,0.4622
1.63334e-08,0.4449
1.63567e-08,0.4368
1.63800e-08,0.4392
1.64032e-08,0.4514
1.64265e-08,0.4672
1.64498e-08,0.4797
1.64730e-08,0.4825
1.64963e-08,0.4727
1.65196e-08,0.4474
1.65428e-08,0.4039
1.65661e-08,0.3424
1.65894e-08,0.2687
1.66126e-08,0.1918
1.66359e-08,0.1223
1.66592e-08,0.0680
1.66824e-08,0.0324
1.67057e-08,0.0129
1.67290e-08,0.0039
1.67522e-08,-0.0010
1.67755e-08,-0.0063
1.67988e-08,-0.0140
1.68220e-08,-0.0234
1.68453e-08,-0.0330
1.68686e-08,-0.0428
1.68918e-08,-0.0532
1.69151e-08,-0.0646
1.69384e-08,-0.0749
1.69616e-08,-0.0808
1.69849e-08,-0.0794
1.70082e-08,-0.0699
1.70314e-08,-0.0531
1.70547e-08,-0.0306
1.70780e-08,-0.0051
1.71012e-08,0.0204
1.71245e-08,0.0426
1.71478e-08,0.0582
1.71710e-08,0.0648
1.71943e-08,0.0621
1.72176e-08,0.0520
1.72408e-08,0.0383
1.72641e-08,0.0256
1.72874e-08,0.0176
1.73106e-08,0.0156
1.73339e-08,0.0183
1.73572e-08,0.0228
1.73804e-08,0.0265
1.74037e-08,0.0285
1.74270e-08,0.0288
1.74502e-08,0.0278
1.74735e-08,0.0252
1.74968e-08,0.0203
1.75201e-08,0.0128
1.75433e-08,0.0029
1.75666e-08,-0.0081
1.75899e-08,-0.0185
1.76131e-08,-0.0265
1.76364e-08,-0.0308
1.76597e-08,-0.0252
1.76829e-08,0.0076
1.77062e-08,0.1091
1.77295e-08,0.2723
1.77527e-08,0.4041
1.77760e-08,0.4904
1.77993e-08,0.5565
1.78225e-08,0.5912
1.78458e-08,0.6081
1.78691e-08,0.6162
1.78923e-08,0.6227
1.79156e-08,0.6305
1.79389e-08,0.6398
1.79621e-08,0.6497
1.79854e-08,0.6586
1.80087e-08,0.6664
1.80319e-08,0.6720
1.80552e-08,0.6749
1.80785e-08,0.6750
1.81017e-08,0.6736
1.81250e-08,0.6727
1.81483e-08,0.6746
1.81715e-08,0.6812
1.81948e-08,0.6949
1.82181e-08,0.7210
1.82413e-08,0.7650
1.82646e-08,0.8269
1.82879e-08,0.9008
1.83111e-08,0.9777
1.83344e-08,1.0483
1.83577e-08,1.1056
1.83809e-08,1.1473
1.84042e-08,1.1744
1.84275e-08,1.1910
1.84507e-08,1.2014
1.84740e-08,1.2025
1.84973e-08,1.1690
1.85205e-08,1.0847
1.85438e-08,0.9224
1.85671e-08,0.7975
1.85903e-08,0.7245
1.86136e-08,0.6753
1.86369e-08,0.6440
1.86601e-08,0.6203
1.86834e-08,0.5981
1.87067e-08,0.5757
1.87299e-08,0.5512
1.87532e-08,0.5243
1.87765e-08,0.4955
1.87997e-08,0.4676
1.88230e-08,0.4434
1.88463e-08,0.4274
1.88695e-08,0.4224
1.88928e-08,0.4292
1.89161e-08,0.4438
1.89393e-08,0.4595
1.89626e-08,0.4691
1.89859e-08,0.4685
1.90091e-08,0.4546
1.90324e-08,0.4236
1.90557e-08,0.3735
1.90789e-08,0.3073
1.91022e-08,0.2327
1.91255e-08,0.1597
1.91487e-08,0.0976
1.91720e-08,0.0519
1.91953e-08,0.0229
1.92185e-08,0.0068
1.92418e-08,-0.0014
1.92651e-08,-0.0067
1.92883e-08,-0.0119
1.93116e-08,-0.0180
1.93349e-08,-0.0248
1.93581e-08,-0.0325
1.93814e-08,-0.0420
1.94047e-08,-0.0538
1.94279e-08,-0.0664
1.94512e-08,-0.0765
1.94745e-08,-0.0803
1.94977e-08,-0.0761
1.95210e-08,-0.0639
1.95443e-08,-0.0449
1.95675e-08,-0.0212
1.95908e-08,0.0045
1.96141e-08,0.0290
1.96373e-08,0.0488
1.96606e-08,0.0607
1.96839e-08,0.0634
1.97071e-08,0.0575
1.97304e-08,0.0461
1.97537e-08,0.0331
1.97769e-08,0.0225
1.98002e-08,0.0169
1.98235e-08,0.0163
1.98468e-08,0.0187
1.98700e-08,0.0219
1.98933e-08,0.0246
1.99166e-08,0.0265
1.99398e-08,0.0275
1.99631e-08,0.0273
1.99864e-08,0.0246
2.00096e-08,0.0189
2.00329e-08,0.0100
2.00562e-08,-0.0009
2.00794e-08,-0.0121
2.01027e-08,-0.0218
2.01260e-08,-0.0284
2.01492e-08,-0.0297
2.01725e-08,-0.0104
2.01958e-08,0.0554
2.02190e-08,0.2032
2.02423e-08,0.3458
2.02656e-08,0.4580
2.02888e-08,0.5349
2.03121e-08,0.5787
2.03354e-08,0.6032
2.03586e-08,0.6147
2.03819e-08,0.6217
2.04052e-08,0.6290
2.04284e-08,0.6367
2.04517e-08,0.6456
2.04750e-08,0.6540
2.04982e-08,0.6616
2.05215e-08,0.6678
2.05448e-08,0.6722
2.05680e-08,0.6740
