.HEADER
..NAMES
Time,V U1.H2
.DATA
7.9806e-09,-0.0044
8.0038e-09,-0.0094
8.0271e-09,-0.0125
8.0504e-09,-0.0131
8.0736e-09,-0.0111
8.0969e-09,-0.0071
8.1202e-09,-0.0021
8.1435e-09,0.0025
8.1667e-09,0.0059
8.1900e-09,0.0075
8.2133e-09,0.0074
8.2365e-09,0.0056
8.2598e-09,0.0025
8.2831e-09,-0.0015
8.3063e-09,-0.0056
8.3296e-09,-0.0094
8.3529e-09,-0.0121
8.3761e-09,-0.0132
8.3994e-09,-0.0123
8.4227e-09,-0.0093
8.4459e-09,-0.0046
8.4692e-09,0.0008
8.4925e-09,0.0060
8.5157e-09,0.0099
8.5390e-09,0.0118
8.5623e-09,0.0117
8.5855e-09,0.0097
8.6088e-09,0.0066
8.6321e-09,0.0034
8.6553e-09,0.0008
8.6786e-09,-0.0007
8.7019e-09,-0.0011
8.7251e-09,-0.0006
8.7484e-09,0.0004
8.7717e-09,0.0016
8.7949e-09,0.0027
8.8182e-09,0.0036
8.8415e-09,0.0044
8.8647e-09,0.0049
8.8880e-09,0.0051
8.9113e-09,0.0049
8.9345e-09,0.0044
8.9578e-09,0.0037
8.9811e-09,0.0031
9.0043e-09,0.0028
9.0276e-09,0.0028
9.0509e-09,0.0031
9.0741e-09,0.0034
9.0974e-09,0.0034
9.1207e-09,0.0028
9.1439e-09,0.0017
9.1672e-09,0.0003
9.1905e-09,-0.0011
9.2137e-09,-0.0021
9.2370e-09,-0.0022
9.2603e-09,-0.0014
9.2835e-09,0.0002
9.3068e-09,0.0022
9.3301e-09,0.0040
9.3533e-09,0.0053
9.3766e-09,0.0058
9.3999e-09,0.0055
9.4231e-09,0.0045
9.4464e-09,0.0031
9.4697e-09,0.0015
9.4929e-09,0.0000
9.5162e-09,-0.0012
9.5395e-09,-0.0019
9.5627e-09,-0.0020
9.5860e-09,-0.0014
9.6093e-09,-0.0001
9.6325e-09,0.0015
9.6558e-09,0.0033
9.6791e-09,0.0049
9.7023e-09,0.0057
9.7256e-09,0.0057
9.7489e-09,0.0049
9.7721e-09,0.0036
9.7954e-09,0.0020
9.8187e-09,0.0007
9.8419e-09,-0.0002
9.8652e-09,-0.0003
9.8885e-09,0.0001
9.9117e-09,0.0008
9.9350e-09,0.0017
9.9583e-09,0.0025
9.9815e-09,0.0030
1.00048e-08,0.0032
1.00281e-08,0.0031
1.00513e-08,0.0029
1.00746e-08,0.0025
1.00979e-08,0.0021
1.01211e-08,0.0017
1.01444e-08,0.0015
1.01677e-08,0.0109
1.01909e-08,0.0498
1.02142e-08,0.1697
1.02375e-08,0.3254
1.02607e-08,0.4510
1.02840e-08,0.5374
1.03073e-08,0.5986
1.03305e-08,0.6292
1.03538e-08,0.6380
1.03771e-08,0.6417
1.04003e-08,0.6422
1.04236e-08,0.6398
1.04469e-08,0.6407
1.04702e-08,0.6464
1.04934e-08,0.6525
1.05167e-08,0.6572
1.05400e-08,0.6615
1.05632e-08,0.6643
1.05865e-08,0.6600
1.06098e-08,0.6471
1.06330e-08,0.6292
1.06563e-08,0.6093
1.06796e-08,0.5891
1.07028e-08,0.5717
1.07261e-08,0.5632
1.07494e-08,0.5666
1.07726e-08,0.5811
1.07959e-08,0.6066
1.08192e-08,0.6429
1.08424e-08,0.6869
1.08657e-08,0.7354
1.08890e-08,0.7882
1.09122e-08,0.8454
1.09355e-08,0.9042
1.09588e-08,0.9609
1.09820e-08,0.9984
1.10053e-08,1.0001
1.10286e-08,0.9205
1.10518e-08,0.7773
1.10751e-08,0.6645
1.10984e-08,0.5862
1.11216e-08,0.5360
1.11449e-08,0.5129
1.11682e-08,0.5093
1.11914e-08,0.5118
1.12147e-08,0.5186
1.12380e-08,0.5301
1.12612e-08,0.5419
1.12845e-08,0.5510
1.13078e-08,0.5595
1.13310e-08,0.5682
1.13543e-08,0.5746
1.13776e-08,0.5766
1.14008e-08,0.5777
1.14241e-08,0.5796
1.14474e-08,0.5799
1.14706e-08,0.5777
1.14939e-08,0.5748
1.15172e-08,0.5712
1.15404e-08,0.5636
1.15637e-08,0.5502
1.15870e-08,0.5320
1.16102e-08,0.5087
1.16335e-08,0.4793
1.16568e-08,0.4440
1.16800e-08,0.4038
1.17033e-08,0.3582
1.17266e-08,0.3062
1.17498e-08,0.2496
1.17731e-08,0.1922
1.17964e-08,0.1370
1.18196e-08,0.0883
1.18429e-08,0.0675
1.18662e-08,0.1037
1.18894e-08,0.2373
1.19127e-08,0.3606
1.19360e-08,0.4658
1.19592e-08,0.5435
1.19825e-08,0.5855
1.20058e-08,0.6039
1.20290e-08,0.6051
