.HEADER
..NAMES
Time,V U1.M4
.DATA
1.18662e-08,1.2309
1.18894e-08,1.2299
1.19127e-08,1.2257
1.19360e-08,1.2187
1.19592e-08,1.2101
1.19825e-08,1.2017
1.20058e-08,1.1955
1.20290e-08,1.1932
1.20523e-08,1.1946
1.20756e-08,1.1983
1.20988e-08,1.2021
1.21221e-08,1.2045
1.21454e-08,1.2048
1.21686e-08,1.2033
1.21919e-08,1.2008
1.22152e-08,1.1981
1.22384e-08,1.1955
1.22617e-08,1.1933
1.22850e-08,1.1916
1.23082e-08,1.1904
1.23315e-08,1.1898
1.23548e-08,1.1901
1.23780e-08,1.1914
1.24013e-08,1.1938
1.24246e-08,1.1969
1.24478e-08,1.2005
1.24711e-08,1.2041
1.24944e-08,1.2073
1.25176e-08,1.2094
1.25409e-08,1.2098
1.25642e-08,1.2081
1.25874e-08,1.2050
1.26107e-08,1.2015
1.26340e-08,1.1990
1.26572e-08,1.1673
1.26805e-08,1.1104
1.27038e-08,0.9548
1.27270e-08,0.8057
1.27503e-08,0.7077
1.27736e-08,0.6435
1.27968e-08,0.6022
1.28201e-08,0.5755
1.28434e-08,0.5565
1.28667e-08,0.5424
1.28899e-08,0.5303
1.29132e-08,0.5200
1.29365e-08,0.5110
1.29597e-08,0.5040
1.29830e-08,0.4991
1.30063e-08,0.4959
1.30295e-08,0.4954
1.30528e-08,0.4975
1.30761e-08,0.5032
1.30993e-08,0.5083
1.31226e-08,0.5104
1.31459e-08,0.5065
1.31691e-08,0.4954
1.31924e-08,0.4739
1.32157e-08,0.4365
1.32389e-08,0.3804
1.32622e-08,0.3098
1.32855e-08,0.2329
1.33087e-08,0.1597
1.33320e-08,0.0982
1.33553e-08,0.0524
1.33785e-08,0.0214
1.34018e-08,0.0017
1.34251e-08,-0.0115
1.34483e-08,-0.0221
1.34716e-08,-0.0324
1.34949e-08,-0.0369
1.35181e-08,-0.0182
1.35414e-08,0.0598
1.35647e-08,0.2008
1.35879e-08,0.3084
1.36112e-08,0.3808
1.36345e-08,0.4413
1.36577e-08,0.4807
1.36810e-08,0.5116
1.37043e-08,0.5398
1.37275e-08,0.5698
1.37508e-08,0.6037
1.37741e-08,0.6401
1.37973e-08,0.6762
1.38206e-08,0.7074
1.38439e-08,0.7302
1.38671e-08,0.7413
1.38904e-08,0.7406
1.39137e-08,0.7297
1.39369e-08,0.7139
1.39602e-08,0.7000
1.39835e-08,0.6939
1.40067e-08,0.6984
1.40300e-08,0.7122
1.40533e-08,0.7366
1.40765e-08,0.7753
1.40998e-08,0.8291
1.41231e-08,0.8945
1.41463e-08,0.9639
1.41696e-08,1.0284
1.41929e-08,1.0806
1.42161e-08,1.1176
1.42394e-08,1.1406
1.42627e-08,1.1535
1.42859e-08,1.1610
1.43092e-08,1.1675
1.43325e-08,1.1757
1.43557e-08,1.1863
1.43790e-08,1.1987
1.44023e-08,1.2129
1.44255e-08,1.2286
1.44488e-08,1.2442
1.44721e-08,1.2566
1.44953e-08,1.2619
1.45186e-08,1.2591
1.45419e-08,1.2494
1.45651e-08,1.2352
1.45884e-08,1.2184
1.46117e-08,1.2000
1.46349e-08,1.1810
1.46582e-08,1.1628
1.46815e-08,1.1481
1.47047e-08,1.1395
1.47280e-08,1.1387
1.47513e-08,1.1454
1.47745e-08,1.1573
1.47978e-08,1.1705
1.48211e-08,1.1812
1.48443e-08,1.1867
1.48676e-08,1.1869
1.48909e-08,1.1838
1.49141e-08,1.1799
1.49374e-08,1.1765
1.49607e-08,1.1742
1.49839e-08,1.1736
1.50072e-08,1.1755
1.50305e-08,1.1806
1.50537e-08,1.1887
1.50770e-08,1.1987
1.51003e-08,1.2087
1.51236e-08,1.2172
1.51468e-08,1.2233
1.51701e-08,1.2268
1.51934e-08,1.2277
1.52166e-08,1.2262
1.52399e-08,1.2225
1.52632e-08,1.2167
1.52864e-08,1.2094
1.53097e-08,1.2017
1.53330e-08,1.1956
1.53562e-08,1.1927
1.53795e-08,1.1939
1.54028e-08,1.1982
1.54260e-08,1.2033
1.54493e-08,1.2073
1.54726e-08,1.2090
1.54958e-08,1.2084
1.55191e-08,1.2061
1.55424e-08,1.2026
1.55656e-08,1.1987
1.55889e-08,1.1947
1.56122e-08,1.1912
1.56354e-08,1.1887
1.56587e-08,1.1878
1.56820e-08,1.1886
1.57052e-08,1.1910
1.57285e-08,1.1944
1.57518e-08,1.1981
1.57750e-08,1.2015
1.57983e-08,1.2043
1.58216e-08,1.2066
1.58448e-08,1.2081
1.58681e-08,1.2085
1.58914e-08,1.2073
1.59146e-08,1.2045
1.59379e-08,1.2010
1.59612e-08,1.1980
1.59844e-08,1.1744
1.60077e-08,1.1228
1.60310e-08,0.9858
1.60542e-08,0.8299
1.60775e-08,0.7237
1.61008e-08,0.6551
1.61240e-08,0.6107
1.61473e-08,0.5812
1.61706e-08,0.5615
1.61938e-08,0.5460
1.62171e-08,0.5332
1.62404e-08,0.5215
1.62636e-08,0.5116
1.62869e-08,0.5038
1.63102e-08,0.4990
1.63334e-08,0.4960
1.63567e-08,0.4959
1.63800e-08,0.4979
1.64032e-08,0.5031
1.64265e-08,0.5083
1.64498e-08,0.5108
1.64730e-08,0.5079
1.64963e-08,0.4983
1.65196e-08,0.4795
1.65428e-08,0.4457
1.65661e-08,0.3931
1.65894e-08,0.3247
1.66126e-08,0.2480
1.66359e-08,0.1729
1.66592e-08,0.1085
1.66824e-08,0.0595
1.67057e-08,0.0262
1.67290e-08,0.0049
1.67522e-08,-0.0087
1.67755e-08,-0.0194
1.67988e-08,-0.0296
1.68220e-08,-0.0371
1.68453e-08,-0.0251
1.68686e-08,0.0389
1.68918e-08,0.1671
1.69151e-08,0.2943
1.69384e-08,0.3687
1.69616e-08,0.4307
1.69849e-08,0.4750
1.70082e-08,0.5057
1.70314e-08,0.5342
1.70547e-08,0.5634
1.70780e-08,0.5967
1.71012e-08,0.6325
1.71245e-08,0.6692
1.71478e-08,0.7018
1.71710e-08,0.7267
1.71943e-08,0.7403
1.72176e-08,0.7418
1.72408e-08,0.7324
1.72641e-08,0.7168
1.72874e-08,0.7018
1.73106e-08,0.6939
1.73339e-08,0.6963
1.73572e-08,0.7086
1.73804e-08,0.7310
1.74037e-08,0.7669
1.74270e-08,0.8180
1.74502e-08,0.8816
1.74735e-08,0.9508
1.74968e-08,1.0166
1.75201e-08,1.0713
1.75433e-08,1.1111
1.75666e-08,1.1366
1.75899e-08,1.1512
1.76131e-08,1.1596
1.76364e-08,1.1630
1.76597e-08,1.1346
1.76829e-08,1.0700
1.77062e-08,0.9175
1.77295e-08,0.7906
1.77527e-08,0.7141
1.77760e-08,0.6717
1.77993e-08,0.6486
1.78225e-08,0.6333
1.78458e-08,0.6151
1.78691e-08,0.5932
1.78923e-08,0.5676
1.79156e-08,0.5410
1.79389e-08,0.5144
1.79621e-08,0.4894
1.79854e-08,0.4668
1.80087e-08,0.4489
1.80319e-08,0.4388
1.80552e-08,0.4388
1.80785e-08,0.4487
1.81017e-08,0.4626
1.81250e-08,0.4750
1.81483e-08,0.4797
1.81715e-08,0.4731
1.81948e-08,0.4508
1.82181e-08,0.4089
1.82413e-08,0.3476
1.82646e-08,0.2734
1.82879e-08,0.1950
1.83111e-08,0.1229
1.83344e-08,0.0655
1.83577e-08,0.0269
1.83809e-08,0.0057
1.84042e-08,-0.0030
1.84275e-08,-0.0059
1.84507e-08,-0.0084
1.84740e-08,-0.0132
1.84973e-08,-0.0204
1.85205e-08,-0.0282
1.85438e-08,-0.0363
1.85671e-08,-0.0454
1.85903e-08,-0.0560
1.86136e-08,-0.0666
1.86369e-08,-0.0746
1.86601e-08,-0.0772
1.86834e-08,-0.0728
1.87067e-08,-0.0610
1.87299e-08,-0.0420
1.87532e-08,-0.0176
1.87765e-08,0.0092
1.87997e-08,0.0349
1.88230e-08,0.0554
1.88463e-08,0.0674
1.88695e-08,0.0696
1.88928e-08,0.0624
1.89161e-08,0.0491
1.89393e-08,0.0339
1.89626e-08,0.0217
1.89859e-08,0.0154
1.90091e-08,0.0151
1.90324e-08,0.0186
1.90557e-08,0.0229
1.90789e-08,0.0262
1.91022e-08,0.0282
1.91255e-08,0.0288
1.91487e-08,0.0282
1.91720e-08,0.0258
1.91953e-08,0.0212
1.92185e-08,0.0141
1.92418e-08,0.0046
1.92651e-08,-0.0063
1.92883e-08,-0.0169
1.93116e-08,-0.0253
1.93349e-08,-0.0170
1.93581e-08,0.0263
1.93814e-08,0.1601
1.94047e-08,0.3081
1.94279e-08,0.4305
1.94512e-08,0.5129
1.94745e-08,0.5739
1.94977e-08,0.6072
1.95210e-08,0.6246
1.95443e-08,0.6325
1.95675e-08,0.6368
1.95908e-08,0.6402
1.96141e-08,0.6452
1.96373e-08,0.6513
1.96606e-08,0.6577
1.96839e-08,0.6641
1.97071e-08,0.6689
1.97304e-08,0.6714
1.97537e-08,0.6715
1.97769e-08,0.6711
1.98002e-08,0.6727
1.98235e-08,0.6783
1.98468e-08,0.6886
1.98700e-08,0.7045
1.98933e-08,0.7313
1.99166e-08,0.7742
1.99398e-08,0.8330
1.99631e-08,0.9027
1.99864e-08,0.9754
2.00096e-08,1.0426
2.00329e-08,1.0983
2.00562e-08,1.1405
2.00794e-08,1.1703
2.01027e-08,1.1903
2.01260e-08,1.2040
2.01492e-08,1.2140
2.01725e-08,1.2218
2.01958e-08,1.2277
2.02190e-08,1.2321
2.02423e-08,1.2362
2.02656e-08,1.2410
2.02888e-08,1.2458
2.03121e-08,1.2487
2.03354e-08,1.2480
2.03586e-08,1.2438
2.03819e-08,1.2367
2.04052e-08,1.2266
2.04284e-08,1.2131
2.04517e-08,1.1957
2.04750e-08,1.1757
2.04982e-08,1.1557
2.05215e-08,1.1393
2.05448e-08,1.1296
2.05680e-08,1.1282
2.05913e-08,1.1343
2.06146e-08,1.1453
2.06378e-08,1.1576
2.06611e-08,1.1678
2.06844e-08,1.1744
2.07076e-08,1.1779
2.07309e-08,1.1800
2.07542e-08,1.1816
2.07774e-08,1.1830
2.08007e-08,1.1841
2.08240e-08,1.1854
2.08472e-08,1.1877
2.08705e-08,1.1914
2.08938e-08,1.1966
2.09170e-08,1.2026
2.09403e-08,1.2091
2.09636e-08,1.2154
2.09868e-08,1.1914
2.10101e-08,1.1401
2.10334e-08,0.9857
2.10566e-08,0.8371
2.10799e-08,0.7343
2.11032e-08,0.6621
2.11264e-08,0.6109
2.11497e-08,0.5754
2.11730e-08,0.5495
2.11962e-08,0.5324
2.12195e-08,0.5214
2.12428e-08,0.5147
2.12660e-08,0.5101
2.12893e-08,0.5064
2.13126e-08,0.5033
2.13358e-08,0.5002
2.13591e-08,0.4987
2.13824e-08,0.4987
2.14056e-08,0.5012
2.14289e-08,0.5026
2.14522e-08,0.5009
2.14754e-08,0.4940
2.14987e-08,0.4816
2.15220e-08,0.4607
2.15452e-08,0.4260
2.15685e-08,0.3742
2.15918e-08,0.3084
2.16150e-08,0.2359
