.HEADER
..NAMES
Time,V U1.T1
.DATA
1.01211e-08,1.1934
1.01444e-08,1.2159
1.01677e-08,1.2279
1.01909e-08,1.2311
1.02142e-08,1.2288
1.02375e-08,1.2248
1.02607e-08,1.2222
1.02840e-08,1.2225
1.03073e-08,1.2263
1.03305e-08,1.2338
1.03538e-08,1.2448
1.03771e-08,1.2577
1.04003e-08,1.2687
1.04236e-08,1.2738
1.04469e-08,1.2710
1.04702e-08,1.2604
1.04934e-08,1.2438
1.05167e-08,1.2235
1.05400e-08,1.2028
1.05632e-08,1.1843
1.05865e-08,1.1688
1.06098e-08,1.1566
1.06330e-08,1.1481
1.06563e-08,1.1448
1.06796e-08,1.1474
1.07028e-08,1.1558
1.07261e-08,1.1679
1.07494e-08,1.1809
1.07726e-08,1.1920
1.07959e-08,1.1993
1.08192e-08,1.2021
1.08424e-08,1.2004
1.08657e-08,1.1948
1.08890e-08,1.1870
1.09122e-08,1.1791
1.09355e-08,1.1731
1.09588e-08,1.1708
1.09820e-08,1.1728
1.10053e-08,1.1790
1.10286e-08,1.1881
1.10518e-08,1.1985
1.10751e-08,1.2085
1.10984e-08,1.2173
1.11216e-08,1.2245
1.11449e-08,1.2296
1.11682e-08,1.2318
1.11914e-08,1.2302
1.12147e-08,1.2246
1.12380e-08,1.2160
1.12612e-08,1.2060
1.12845e-08,1.1969
1.13078e-08,1.1905
1.13310e-08,1.1877
1.13543e-08,1.1887
1.13776e-08,1.1927
1.14008e-08,1.1984
1.14241e-08,1.2047
1.14474e-08,1.2102
1.14706e-08,1.2141
1.14939e-08,1.2157
1.15172e-08,1.2146
1.15404e-08,1.2112
1.15637e-08,1.2061
1.15870e-08,1.2004
1.16102e-08,1.1947
1.16335e-08,1.1896
1.16568e-08,1.1856
1.16800e-08,1.1834
1.17033e-08,1.1837
1.17266e-08,1.1867
1.17498e-08,1.1921
1.17731e-08,1.1989
1.17964e-08,1.2056
1.18196e-08,1.1879
1.18429e-08,1.1368
1.18662e-08,0.9967
1.18894e-08,0.8286
1.19127e-08,0.7029
1.19360e-08,0.6096
1.19592e-08,0.5425
1.19825e-08,0.5000
1.20058e-08,0.4774
1.20290e-08,0.4676
1.20523e-08,0.4679
1.20756e-08,0.4758
1.20988e-08,0.4865
1.21221e-08,0.4978
1.21454e-08,0.5079
1.21686e-08,0.5156
1.21919e-08,0.5212
1.22152e-08,0.5242
1.22384e-08,0.5255
1.22617e-08,0.5244
1.22850e-08,0.5198
1.23082e-08,0.5122
1.23315e-08,0.5016
1.23548e-08,0.4859
1.23780e-08,0.4598
1.24013e-08,0.4198
1.24246e-08,0.3685
1.24478e-08,0.3116
1.24711e-08,0.2527
1.24944e-08,0.1950
1.25176e-08,0.1423
1.25409e-08,0.0960
1.25642e-08,0.0551
1.25874e-08,0.0187
1.26107e-08,-0.0123
1.26340e-08,-0.0363
1.26572e-08,-0.0530
1.26805e-08,-0.0634
1.27038e-08,-0.0693
1.27270e-08,-0.0734
1.27503e-08,-0.0773
1.27736e-08,-0.0816
1.27968e-08,-0.0861
1.28201e-08,-0.0906
1.28434e-08,-0.0948
1.28667e-08,-0.0971
1.28899e-08,-0.0950
1.29132e-08,-0.0869
1.29365e-08,-0.0734
1.29597e-08,-0.0563
1.29830e-08,-0.0374
1.30063e-08,-0.0188
1.30295e-08,-0.0025
1.30528e-08,0.0109
1.30761e-08,0.0220
1.30993e-08,0.0315
1.31226e-08,0.0391
1.31459e-08,0.0435
1.31691e-08,0.0441
1.31924e-08,0.0409
1.32157e-08,0.0356
1.32389e-08,0.0300
1.32622e-08,0.0261
1.32855e-08,0.0246
1.33087e-08,0.0254
1.33320e-08,0.0278
1.33553e-08,0.0310
