.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
1.32855e-08,1.1955
1.33087e-08,1.1891
1.33320e-08,1.1853
1.33553e-08,1.1850
1.33785e-08,1.1907
1.34018e-08,1.1994
1.34251e-08,1.2057
1.34483e-08,1.2070
1.34716e-08,1.1997
1.34949e-08,1.1573
1.35181e-08,1.0770
1.35414e-08,0.9104
1.35647e-08,0.7663
1.35879e-08,0.6692
1.36112e-08,0.6055
1.36345e-08,0.5730
1.36577e-08,0.5656
1.36810e-08,0.5662
1.37043e-08,0.5651
1.37275e-08,0.5623
1.37508e-08,0.5559
1.37741e-08,0.5456
1.37973e-08,0.5316
1.38206e-08,0.5188
1.38439e-08,0.5109
1.38671e-08,0.5089
1.38904e-08,0.5119
1.39137e-08,0.5272
1.39369e-08,0.6020
1.39602e-08,0.7985
1.39835e-08,0.9716
1.40067e-08,1.0920
1.40300e-08,1.1678
1.40533e-08,1.2069
1.40765e-08,1.2117
1.40998e-08,1.2022
1.41231e-08,1.1941
1.41463e-08,1.1882
1.41696e-08,1.1850
1.41929e-08,1.1856
1.42161e-08,1.1923
1.42394e-08,1.2009
1.42627e-08,1.2064
1.42859e-08,1.2065
1.43092e-08,1.1943
1.43325e-08,1.1473
1.43557e-08,1.0505
1.43790e-08,0.8772
1.44023e-08,0.7418
1.44255e-08,0.6541
1.44488e-08,0.5967
1.44721e-08,0.5694
1.44953e-08,0.5656
1.45186e-08,0.5662
1.45419e-08,0.5649
1.45651e-08,0.5616
1.45884e-08,0.5543
1.46117e-08,0.5430
1.46349e-08,0.5287
1.46582e-08,0.5168
1.46815e-08,0.5100
1.47047e-08,0.5091
1.47280e-08,0.5128
1.47513e-08,0.5342
1.47745e-08,0.6301
1.47978e-08,0.8351
1.48211e-08,0.9954
1.48443e-08,1.1083
1.48676e-08,1.1824
1.48909e-08,1.2102
1.49141e-08,1.2097
1.49374e-08,1.2005
1.49607e-08,1.1928
1.49839e-08,1.1873
1.50072e-08,1.1847
1.50305e-08,1.1866
1.50537e-08,1.1940
1.50770e-08,1.2023
1.51003e-08,1.2068
1.51236e-08,1.2058
1.51468e-08,1.1861
1.51701e-08,1.1345
1.51934e-08,1.0171
1.52166e-08,0.8474
1.52399e-08,0.7221
1.52632e-08,0.6392
1.52864e-08,0.5894
1.53097e-08,0.5672
1.53330e-08,0.5659
1.53562e-08,0.5661
1.53795e-08,0.5646
1.54028e-08,0.5605
1.54260e-08,0.5525
1.54493e-08,0.5403
1.54726e-08,0.5260
1.54958e-08,0.5149
1.55191e-08,0.5093
1.55424e-08,0.5096
1.55656e-08,0.5145
1.55889e-08,0.5429
1.56122e-08,0.6678
1.56354e-08,0.8776
1.56587e-08,1.0193
1.56820e-08,1.1286
1.57052e-08,1.1895
1.57285e-08,1.2118
1.57518e-08,1.2080
1.57750e-08,1.1989
1.57983e-08,1.1915
1.58216e-08,1.1865
1.58448e-08,1.1846
1.58681e-08,1.1877
1.58914e-08,1.1958
1.59146e-08,1.2035
1.59379e-08,1.2070
1.59612e-08,1.2049
1.59844e-08,1.1771
1.60077e-08,1.1196
1.60310e-08,0.9766
1.60542e-08,0.8153
1.60775e-08,0.7030
1.61008e-08,0.6272
1.61240e-08,0.5831
1.61473e-08,0.5659
1.61706e-08,0.5660
1.61938e-08,0.5658
1.62171e-08,0.5641
1.62404e-08,0.5592
1.62636e-08,0.5505
1.62869e-08,0.5375
1.63102e-08,0.5235
1.63334e-08,0.5133
1.63567e-08,0.5089
1.63800e-08,0.5102
1.64032e-08,0.5176
1.64265e-08,0.5596
1.64498e-08,0.7105
1.64730e-08,0.9083
1.64963e-08,1.0448
1.65196e-08,1.1419
1.65428e-08,1.1977
1.65661e-08,1.2128
1.65894e-08,1.2061
1.66126e-08,1.1973
1.66359e-08,1.1903
1.66592e-08,1.1858
1.66824e-08,1.1846
1.67057e-08,1.1890
1.67290e-08,1.1975
1.67522e-08,1.2045
1.67755e-08,1.2070
1.67988e-08,1.2038
1.68220e-08,1.1677
1.68453e-08,1.1044
1.68686e-08,0.9432
1.68918e-08,0.7897
1.69151e-08,0.6861
1.69384e-08,0.6159
1.69616e-08,0.5773
1.69849e-08,0.5657
1.70082e-08,0.5663
1.70314e-08,0.5656
1.70547e-08,0.5633
1.70780e-08,0.5577
1.71012e-08,0.5482
1.71245e-08,0.5347
1.71478e-08,0.5211
1.71710e-08,0.5119
1.71943e-08,0.5087
1.72176e-08,0.5109
1.72408e-08,0.5216
1.72641e-08,0.5730
1.72874e-08,0.7534
1.73106e-08,0.9404
1.73339e-08,1.0645
1.73572e-08,1.1562
1.73804e-08,1.2023
1.74037e-08,1.2121
1.74270e-08,1.2043
1.74502e-08,1.1957
1.74735e-08,1.1892
1.74968e-08,1.1853
1.75201e-08,1.1849
1.75433e-08,1.1905
1.75666e-08,1.1991
1.75899e-08,1.2054
1.76131e-08,1.2068
1.76364e-08,1.1996
1.76597e-08,1.1577
1.76829e-08,1.0783
1.77062e-08,0.9109
1.77295e-08,0.7672
1.77527e-08,0.6700
1.77760e-08,0.6056
1.77993e-08,0.5729
1.78225e-08,0.5657
1.78458e-08,0.5662
1.78691e-08,0.5652
1.78923e-08,0.5624
1.79156e-08,0.5561
1.79389e-08,0.5458
1.79621e-08,0.5318
1.79854e-08,0.5189
1.80087e-08,0.5109
1.80319e-08,0.5088
1.80552e-08,0.5117
1.80785e-08,0.5270
1.81017e-08,0.6003
1.81250e-08,0.7956
1.81483e-08,0.9672
1.81715e-08,1.0886
1.81948e-08,1.1662
1.82181e-08,1.2058
1.82413e-08,1.2114
1.82646e-08,1.2023
1.82879e-08,1.1942
1.83111e-08,1.1882
1.83344e-08,1.1850
1.83577e-08,1.1856
1.83809e-08,1.1921
1.84042e-08,1.2007
1.84275e-08,1.2061
1.84507e-08,1.2063
1.84740e-08,1.1947
1.84973e-08,1.1482
1.85205e-08,1.0508
1.85438e-08,0.8781
1.85671e-08,0.7424
1.85903e-08,0.6551
1.86136e-08,0.5971
1.86369e-08,0.5694
1.86601e-08,0.5655
1.86834e-08,0.5661
1.87067e-08,0.5649
1.87299e-08,0.5616
1.87532e-08,0.5545
1.87765e-08,0.5432
1.87997e-08,0.5289
1.88230e-08,0.5169
1.88463e-08,0.5100
1.88695e-08,0.5091
1.88928e-08,0.5126
1.89161e-08,0.5339
1.89393e-08,0.6275
1.89626e-08,0.8324
1.89859e-08,0.9913
1.90091e-08,1.1053
1.90324e-08,1.1812
1.90557e-08,1.2090
1.90789e-08,1.2094
1.91022e-08,1.2005
1.91255e-08,1.1928
1.91487e-08,1.1874
1.91720e-08,1.1847
1.91953e-08,1.1865
1.92185e-08,1.1938
1.92418e-08,1.2020
1.92651e-08,1.2066
1.92883e-08,1.2057
1.93116e-08,1.1866
1.93349e-08,1.1353
1.93581e-08,1.0174
1.93814e-08,0.8489
1.94047e-08,0.7231
1.94279e-08,0.6402
1.94512e-08,0.5896
1.94745e-08,0.5672
1.94977e-08,0.5658
1.95210e-08,0.5660
1.95443e-08,0.5646
1.95675e-08,0.5606
1.95908e-08,0.5527
1.96141e-08,0.5405
1.96373e-08,0.5262
1.96606e-08,0.5151
1.96839e-08,0.5094
1.97071e-08,0.5095
1.97304e-08,0.5143
1.97537e-08,0.5434
1.97769e-08,0.6652
1.98002e-08,0.8722
1.98235e-08,1.0155
1.98468e-08,1.1256
1.98700e-08,1.1884
1.98933e-08,1.2105
1.99166e-08,1.2076
1.99398e-08,1.1989
1.99631e-08,1.1915
1.99864e-08,1.1865
2.00096e-08,1.1846
2.00329e-08,1.1877
2.00562e-08,1.1956
2.00794e-08,1.2032
2.01027e-08,1.2069
2.01260e-08,1.2048
2.01492e-08,1.1776
2.01725e-08,1.1209
2.01958e-08,0.9783
2.02190e-08,0.8178
2.02423e-08,0.7049
2.02656e-08,0.6281
2.02888e-08,0.5832
2.03121e-08,0.5660
2.03354e-08,0.5659
2.03586e-08,0.5657
2.03819e-08,0.5640
2.04052e-08,0.5593
2.04284e-08,0.5506
2.04517e-08,0.5377
2.04750e-08,0.5237
2.04982e-08,0.5134
2.05215e-08,0.5090
2.05448e-08,0.5101
2.05680e-08,0.5174
2.05913e-08,0.5592
2.06146e-08,0.7078
2.06378e-08,0.9033
2.06611e-08,1.0434
2.06844e-08,1.1395
2.07076e-08,1.1958
2.07309e-08,1.2117
2.07542e-08,1.2058
2.07774e-08,1.1971
2.08007e-08,1.1902
2.08240e-08,1.1859
2.08472e-08,1.1847
2.08705e-08,1.1890
2.08938e-08,1.1973
2.09170e-08,1.2043
2.09403e-08,1.2069
2.09636e-08,1.2038
2.09868e-08,1.1682
2.10101e-08,1.1063
2.10334e-08,0.9449
2.10566e-08,0.7921
2.10799e-08,0.6876
2.11032e-08,0.6166
2.11264e-08,0.5770
2.11497e-08,0.5656
2.11730e-08,0.5660
2.11962e-08,0.5655
2.12195e-08,0.5633
2.12428e-08,0.5578
2.12660e-08,0.5484
2.12893e-08,0.5349
2.13126e-08,0.5213
2.13358e-08,0.5121
2.13591e-08,0.5088
2.13824e-08,0.5108
2.14056e-08,0.5215
2.14289e-08,0.5714
2.14522e-08,0.7512
2.14754e-08,0.9359
2.14987e-08,1.0635
2.15220e-08,1.1559
2.15452e-08,1.2006
2.15685e-08,1.2113
2.15918e-08,1.2040
2.16150e-08,1.1956
2.16383e-08,1.1891
2.16616e-08,1.1853
2.16848e-08,1.1850
2.17081e-08,1.1904
2.17314e-08,1.1989
2.17546e-08,1.2052
2.17779e-08,1.2067
2.18012e-08,1.1997
2.18244e-08,1.1582
2.18477e-08,1.0806
2.18710e-08,0.9127
2.18942e-08,0.7689
2.19175e-08,0.6707
2.19408e-08,0.6060
2.19640e-08,0.5724
2.19873e-08,0.5654
2.20106e-08,0.5659
2.20338e-08,0.5651
2.20571e-08,0.5624
2.20804e-08,0.5562
2.21037e-08,0.5460
2.21269e-08,0.5320
2.21502e-08,0.5191
2.21735e-08,0.5109
2.21967e-08,0.5088
2.22200e-08,0.5116
2.22433e-08,0.5266
2.22665e-08,0.5986
