.HEADER
..NAMES
Time,V U1.M5
.DATA
8.1667e-09,0.4940
8.1900e-09,0.4750
8.2133e-09,0.4419
8.2365e-09,0.3908
8.2598e-09,0.3235
8.2831e-09,0.2472
8.3063e-09,0.1715
8.3296e-09,0.1057
8.3529e-09,0.0550
8.3761e-09,0.0201
8.3994e-09,-0.0023
8.4227e-09,-0.0170
8.4459e-09,-0.0282
8.4692e-09,-0.0388
8.4925e-09,-0.0463
8.5157e-09,-0.0332
8.5390e-09,0.0258
8.5623e-09,0.1601
8.5855e-09,0.2807
8.6088e-09,0.3610
8.6321e-09,0.4247
8.6553e-09,0.4684
8.6786e-09,0.5001
8.7019e-09,0.5285
8.7251e-09,0.5582
8.7484e-09,0.5915
8.7717e-09,0.6273
8.7949e-09,0.6637
8.8182e-09,0.6966
8.8415e-09,0.7221
8.8647e-09,0.7368
8.8880e-09,0.7394
8.9113e-09,0.7311
8.9345e-09,0.7163
8.9578e-09,0.7013
8.9811e-09,0.6928
9.0043e-09,0.6942
9.0276e-09,0.7059
9.0509e-09,0.7278
9.0741e-09,0.7633
9.0974e-09,0.8137
9.1207e-09,0.8768
9.1439e-09,0.9461
9.1672e-09,1.0128
9.1905e-09,1.0688
9.2137e-09,1.1099
9.2370e-09,1.1362
9.2603e-09,1.1513
9.2835e-09,1.1599
9.3068e-09,1.1634
9.3301e-09,1.1343
9.3533e-09,1.0680
9.3766e-09,0.9162
9.3999e-09,0.7874
9.4231e-09,0.7109
9.4464e-09,0.6691
9.4697e-09,0.6474
9.4929e-09,0.6320
9.5162e-09,0.6154
9.5395e-09,0.5937
9.5627e-09,0.5686
9.5860e-09,0.5415
9.6093e-09,0.5148
9.6325e-09,0.4896
9.6558e-09,0.4671
9.6791e-09,0.4490
9.7023e-09,0.4388
9.7256e-09,0.4383
9.7489e-09,0.4475
9.7721e-09,0.4613
9.7954e-09,0.4735
9.8187e-09,0.4787
9.8419e-09,0.4721
9.8652e-09,0.4495
9.8885e-09,0.4069
9.9117e-09,0.3449
9.9350e-09,0.2694
9.9583e-09,0.1901
9.9815e-09,0.1173
1.00048e-08,0.0597
1.00281e-08,0.0209
1.00513e-08,-0.0004
1.00746e-08,-0.0092
1.00979e-08,-0.0120
1.01211e-08,-0.0142
1.01444e-08,-0.0187
1.01677e-08,-0.0164
1.01909e-08,0.0107
