.HEADER
..NAMES
Time,V U1.L1&L2
.DATA
7.9573e-09,-0.6264
7.9806e-09,-0.5611
8.0038e-09,-0.4884
8.0271e-09,-0.4214
8.0504e-09,-0.3748
8.0736e-09,-0.3371
8.0969e-09,-0.2827
8.1202e-09,-0.0706
8.1435e-09,0.1945
8.1667e-09,0.3617
8.1900e-09,0.4806
8.2133e-09,0.5632
8.2365e-09,0.6076
8.2598e-09,0.6309
8.2831e-09,0.6551
8.3063e-09,0.6784
8.3296e-09,0.6872
8.3529e-09,0.6682
8.3761e-09,0.6211
8.3994e-09,0.5547
8.4227e-09,0.4822
8.4459e-09,0.4173
8.4692e-09,0.3748
8.4925e-09,0.3370
8.5157e-09,0.2742
8.5390e-09,0.0405
8.5623e-09,-0.2158
8.5855e-09,-0.3754
8.6088e-09,-0.4889
8.6321e-09,-0.5703
8.6553e-09,-0.6107
8.6786e-09,-0.6316
8.7019e-09,-0.6569
8.7251e-09,-0.6801
8.7484e-09,-0.6867
8.7717e-09,-0.6645
8.7949e-09,-0.6146
8.8182e-09,-0.5467
8.8415e-09,-0.4742
8.8647e-09,-0.4101
8.8880e-09,-0.3681
8.9113e-09,-0.3307
8.9345e-09,-0.2586
8.9578e-09,-0.0146
8.9811e-09,0.2345
9.0043e-09,0.3874
9.0276e-09,0.4997
9.0509e-09,0.5747
9.0741e-09,0.6130
9.0974e-09,0.6358
9.1207e-09,0.6605
9.1439e-09,0.6818
9.1672e-09,0.6857
9.1905e-09,0.6607
9.2137e-09,0.6090
9.2370e-09,0.5403
9.2603e-09,0.4683
9.2835e-09,0.4067
9.3068e-09,0.3676
9.3301e-09,0.3309
9.3533e-09,0.2394
9.3766e-09,-0.0120
9.3999e-09,-0.2536
9.4231e-09,-0.4029
9.4464e-09,-0.5091
9.4697e-09,-0.5795
9.4929e-09,-0.6147
9.5162e-09,-0.6371
9.5395e-09,-0.6621
9.5627e-09,-0.6833
9.5860e-09,-0.6847
9.6093e-09,-0.6565
9.6325e-09,-0.6022
9.6558e-09,-0.5323
9.6791e-09,-0.4605
9.7023e-09,-0.3998
9.7256e-09,-0.3604
9.7489e-09,-0.3248
9.7721e-09,-0.2194
9.7954e-09,0.0391
9.8187e-09,0.2721
9.8419e-09,0.4164
9.8652e-09,0.5172
9.8885e-09,0.5829
9.9117e-09,0.6180
9.9350e-09,0.6404
9.9583e-09,0.6651
9.9815e-09,0.6844
1.00048e-08,0.6831
1.00281e-08,0.6523
1.00513e-08,0.5964
1.00746e-08,0.5259
1.00979e-08,0.4549
1.01211e-08,0.3972
1.01444e-08,0.3595
1.01677e-08,0.3232
1.01909e-08,0.1965
1.02142e-08,-0.0648
1.02375e-08,-0.2884
1.02607e-08,-0.4286
1.02840e-08,-0.5246
1.03073e-08,-0.5895
1.03305e-08,-0.6198
1.03538e-08,-0.6413
1.03771e-08,-0.6669
1.04003e-08,-0.6855
1.04236e-08,-0.6815
1.04469e-08,-0.6475
1.04702e-08,-0.5892
1.04934e-08,-0.5179
1.05167e-08,-0.4472
1.05400e-08,-0.3905
1.05632e-08,-0.3523
1.05865e-08,-0.3152
1.06098e-08,-0.1751
1.06330e-08,0.0880
1.06563e-08,0.3022
1.06796e-08,0.4382
1.07028e-08,0.5335
1.07261e-08,0.5929
1.07494e-08,0.6220
1.07726e-08,0.6449
1.07959e-08,0.6698
1.08192e-08,0.6862
1.08424e-08,0.6793
1.08657e-08,0.6430
1.08890e-08,0.5832
1.09122e-08,0.5115
1.09355e-08,0.4419
1.09588e-08,0.3887
1.09820e-08,0.3521
1.10053e-08,0.3108
1.10286e-08,0.1570
1.10518e-08,-0.1211
1.10751e-08,-0.3159
1.10984e-08,-0.4496
1.11216e-08,-0.5419
1.11449e-08,-0.5972
1.11682e-08,-0.6229
1.11914e-08,-0.6466
1.12147e-08,-0.6717
1.12380e-08,-0.6869
1.12612e-08,-0.6771
1.12845e-08,-0.6377
1.13078e-08,-0.5758
1.13310e-08,-0.5036
1.13543e-08,-0.4344
1.13776e-08,-0.3824
1.14008e-08,-0.3450
1.14241e-08,-0.3051
1.14474e-08,-0.1299
1.14706e-08,0.1440
1.14939e-08,0.3305
1.15172e-08,0.4628
1.15404e-08,0.5488
1.15637e-08,0.6001
1.15870e-08,0.6268
1.16102e-08,0.6502
1.16335e-08,0.6741
1.16568e-08,0.6870
1.16800e-08,0.6743
1.17033e-08,0.6327
1.17266e-08,0.5695
1.17498e-08,0.4972
1.17731e-08,0.4297
1.17964e-08,0.3814
1.18196e-08,0.3447
1.18429e-08,0.2946
1.18662e-08,0.1002
1.18894e-08,-0.1709
1.19127e-08,-0.3446
1.19360e-08,-0.4710
1.19592e-08,-0.5561
1.19825e-08,-0.6040
1.20058e-08,-0.6281
1.20290e-08,-0.6514
1.20523e-08,-0.6759
1.20756e-08,-0.6873
1.20988e-08,-0.6715
1.21221e-08,-0.6269
1.21454e-08,-0.5619
1.21686e-08,-0.4894
1.21919e-08,-0.4224
1.22152e-08,-0.3756
1.22384e-08,-0.3378
1.22617e-08,-0.2810
1.22850e-08,-0.0724
1.23082e-08,0.1901
1.23315e-08,0.3587
1.23548e-08,0.4789
1.23780e-08,0.5620
1.24013e-08,0.6069
1.24246e-08,0.6307
1.24478e-08,0.6547
1.24711e-08,0.6780
