.HEADER
..NAMES
Time,V U1.N3
.DATA
9.0741e-09,0.0134
9.0974e-09,0.0103
9.1207e-09,0.0069
9.1439e-09,0.0032
9.1672e-09,-0.0008
9.1905e-09,-0.0046
9.2137e-09,-0.0075
9.2370e-09,-0.0088
9.2603e-09,-0.0078
9.2835e-09,-0.0047
9.3068e-09,-0.0002
9.3301e-09,0.0106
9.3533e-09,0.0465
9.3766e-09,0.1489
9.3999e-09,0.3121
9.4231e-09,0.4333
9.4464e-09,0.5182
9.4697e-09,0.5779
9.4929e-09,0.6071
9.5162e-09,0.6211
9.5395e-09,0.6286
9.5627e-09,0.6348
9.5860e-09,0.6425
9.6093e-09,0.6504
9.6325e-09,0.6572
9.6558e-09,0.6604
9.6791e-09,0.6602
9.7023e-09,0.6579
9.7256e-09,0.6547
9.7489e-09,0.6527
9.7721e-09,0.6527
9.7954e-09,0.6558
9.8187e-09,0.6629
9.8419e-09,0.6742
9.8652e-09,0.6909
9.8885e-09,0.7178
9.9117e-09,0.7600
9.9350e-09,0.8173
9.9583e-09,0.8869
9.9815e-09,0.9627
1.00048e-08,1.0368
1.00281e-08,1.1022
1.00513e-08,1.1541
1.00746e-08,1.1902
1.00979e-08,1.2107
1.01211e-08,1.2185
1.01444e-08,1.2193
1.01677e-08,1.2184
1.01909e-08,1.2194
1.02142e-08,1.2241
1.02375e-08,1.2321
1.02607e-08,1.2411
1.02840e-08,1.2482
1.03073e-08,1.2510
1.03305e-08,1.2493
1.03538e-08,1.2442
1.03771e-08,1.2372
1.04003e-08,1.2281
1.04236e-08,1.2166
1.04469e-08,1.2023
1.04702e-08,1.1854
1.04934e-08,1.1675
1.05167e-08,1.1506
1.05400e-08,1.1370
1.05632e-08,1.1284
1.05865e-08,1.1266
1.06098e-08,1.1325
1.06330e-08,1.1449
1.06563e-08,1.1612
1.06796e-08,1.1776
1.07028e-08,1.1908
1.07261e-08,1.1982
1.07494e-08,1.1993
1.07726e-08,1.1955
1.07959e-08,1.1897
1.08192e-08,1.1851
1.08424e-08,1.1837
1.08657e-08,1.1860
1.08890e-08,1.1914
1.09122e-08,1.1985
1.09355e-08,1.2061
1.09588e-08,1.2133
1.09820e-08,1.2046
1.10053e-08,1.1618
1.10286e-08,1.0504
1.10518e-08,0.8822
1.10751e-08,0.7541
1.10984e-08,0.6678
1.11216e-08,0.6120
1.11449e-08,0.5739
1.11682e-08,0.5496
1.11914e-08,0.5305
1.12147e-08,0.5166
1.12380e-08,0.5063
1.12612e-08,0.5005
1.12845e-08,0.5004
1.13078e-08,0.5060
1.13310e-08,0.5149
1.13543e-08,0.5230
1.13776e-08,0.5279
1.14008e-08,0.5275
1.14241e-08,0.5218
1.14474e-08,0.5105
1.14706e-08,0.4950
1.14939e-08,0.4772
1.15172e-08,0.4559
1.15404e-08,0.4265
1.15637e-08,0.3838
1.15870e-08,0.3284
1.16102e-08,0.2633
1.16335e-08,0.1940
1.16568e-08,0.1278
1.16800e-08,0.0703
1.17033e-08,0.0255
1.17266e-08,-0.0056
1.17498e-08,-0.0238
1.17731e-08,-0.0324
1.17964e-08,-0.0365
1.18196e-08,-0.0407
1.18429e-08,-0.0471
1.18662e-08,-0.0558
1.18894e-08,-0.0655
1.19127e-08,-0.0733
1.19360e-08,-0.0767
1.19592e-08,-0.0742
1.19825e-08,-0.0668
1.20058e-08,-0.0570
1.20290e-08,-0.0469
1.20523e-08,-0.0366
1.20756e-08,-0.0253
1.20988e-08,-0.0121
1.21221e-08,0.0032
1.21454e-08,0.0199
1.21686e-08,0.0361
1.21919e-08,0.0500
1.22152e-08,0.0598
1.22384e-08,0.0637
1.22617e-08,0.0608
1.22850e-08,0.0519
1.23082e-08,0.0397
1.23315e-08,0.0276
1.23548e-08,0.0185
1.23780e-08,0.0144
1.24013e-08,0.0153
1.24246e-08,0.0194
1.24478e-08,0.0238
1.24711e-08,0.0258
1.24944e-08,0.0241
1.25176e-08,0.0189
1.25409e-08,0.0117
1.25642e-08,0.0040
1.25874e-08,-0.0029
1.26107e-08,-0.0085
1.26340e-08,-0.0126
1.26572e-08,-0.0153
1.26805e-08,-0.0168
1.27038e-08,-0.0178
1.27270e-08,-0.0185
1.27503e-08,-0.0184
1.27736e-08,-0.0168
1.27968e-08,-0.0131
1.28201e-08,-0.0073
