.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
9.2137e-09,0.6592
9.2370e-09,0.6799
9.2603e-09,0.6956
9.2835e-09,0.6982
9.3068e-09,0.6857
9.3301e-09,0.6299
9.3533e-09,0.4848
9.3766e-09,0.1295
9.3999e-09,-0.1994
9.4231e-09,-0.4247
9.4464e-09,-0.5676
9.4697e-09,-0.6441
9.4929e-09,-0.6634
9.5162e-09,-0.6533
9.5395e-09,-0.6428
9.5627e-09,-0.6381
9.5860e-09,-0.6403
9.6093e-09,-0.6486
9.6325e-09,-0.6636
9.6558e-09,-0.6812
9.6791e-09,-0.6947
9.7023e-09,-0.6972
9.7256e-09,-0.6829
9.7489e-09,-0.6210
9.7721e-09,-0.4573
9.7954e-09,-0.0889
9.8187e-09,0.2286
9.8419e-09,0.4414
9.8652e-09,0.5801
9.8885e-09,0.6511
9.9117e-09,0.6625
9.9350e-09,0.6493
9.9583e-09,0.6409
9.9815e-09,0.6383
1.00048e-08,0.6395
1.00281e-08,0.6464
1.00513e-08,0.6632
1.00746e-08,0.6837
1.00979e-08,0.6972
1.01211e-08,0.6970
1.01444e-08,0.6789
1.01677e-08,0.6128
1.01909e-08,0.4268
1.02142e-08,0.0561
1.02375e-08,-0.2524
1.02607e-08,-0.4557
1.02840e-08,-0.5861
1.03073e-08,-0.6518
1.03305e-08,-0.6619
1.03538e-08,-0.6506
1.03771e-08,-0.6412
1.04003e-08,-0.6380
1.04236e-08,-0.6415
1.04469e-08,-0.6512
1.04702e-08,-0.6672
1.04934e-08,-0.6845
1.05167e-08,-0.6963
1.05400e-08,-0.6961
1.05632e-08,-0.6744
1.05865e-08,-0.6012
1.06098e-08,-0.3949
1.06330e-08,-0.0215
1.06563e-08,0.2734
1.06796e-08,0.4725
1.07028e-08,0.6017
1.07261e-08,0.6578
1.07494e-08,0.6595
1.07726e-08,0.6469
1.07959e-08,0.6397
1.08192e-08,0.6381
1.08424e-08,0.6402
1.08657e-08,0.6490
1.08890e-08,0.6674
1.09122e-08,0.6872
1.09355e-08,0.6983
1.09588e-08,0.6954
1.09820e-08,0.6693
1.10053e-08,0.5917
1.10286e-08,0.3616
1.10518e-08,-0.0228
1.10751e-08,-0.2951
1.10984e-08,-0.4895
1.11216e-08,-0.6058
1.11449e-08,-0.6571
1.11682e-08,-0.6598
1.11914e-08,-0.6484
1.12147e-08,-0.6400
1.12380e-08,-0.6382
1.12612e-08,-0.6428
1.12845e-08,-0.6541
1.13078e-08,-0.6707
1.13310e-08,-0.6875
1.13543e-08,-0.6973
1.13776e-08,-0.6946
1.14008e-08,-0.6635
1.14241e-08,-0.5812
1.14474e-08,-0.3224
1.14706e-08,0.0571
1.14939e-08,0.3179
1.15172e-08,0.5078
1.15404e-08,0.6160
1.15637e-08,0.6617
1.15870e-08,0.6570
1.16102e-08,0.6451
1.16335e-08,0.6390
1.16568e-08,0.6381
1.16800e-08,0.6411
1.17033e-08,0.6520
1.17266e-08,0.6715
1.17498e-08,0.6904
1.17731e-08,0.6988
1.17964e-08,0.6935
1.18196e-08,0.6575
1.18429e-08,0.5653
1.18662e-08,0.2834
1.18894e-08,-0.0850
1.19127e-08,-0.3398
1.19360e-08,-0.5185
1.19592e-08,-0.6190
1.19825e-08,-0.6614
1.20058e-08,-0.6580
1.20290e-08,-0.6464
1.20523e-08,-0.6391
1.20756e-08,-0.6386
1.20988e-08,-0.6443
1.21221e-08,-0.6570
1.21454e-08,-0.6742
1.21686e-08,-0.6903
1.21919e-08,-0.6978
1.22152e-08,-0.6927
1.22384e-08,-0.6509
1.22617e-08,-0.5456
1.22850e-08,-0.2423
1.23082e-08,0.1141
1.23315e-08,0.3583
1.23548e-08,0.5328
1.23780e-08,0.6315
1.24013e-08,0.6632
1.24246e-08,0.6543
1.24478e-08,0.6434
1.24711e-08,0.6386
1.24944e-08,0.6384
1.25176e-08,0.6424
1.25409e-08,0.6553
1.25642e-08,0.6755
