.HEADER
..NAMES
Time,V U1.V6
.DATA
1.32157e-08,0.5533
1.32389e-08,0.5830
1.32622e-08,0.5996
1.32855e-08,0.6140
1.33087e-08,0.6715
1.33320e-08,0.8673
1.33553e-08,1.0416
1.33785e-08,1.1638
1.34018e-08,1.2241
1.34251e-08,1.2260
1.34483e-08,1.1968
1.34716e-08,1.1395
1.34949e-08,1.0685
1.35181e-08,0.9892
1.35414e-08,0.9083
1.35647e-08,0.8298
1.35879e-08,0.7564
1.36112e-08,0.6908
1.36345e-08,0.6345
1.36577e-08,0.5871
1.36810e-08,0.5485
1.37043e-08,0.5198
1.37275e-08,0.5013
1.37508e-08,0.4911
1.37741e-08,0.4866
1.37973e-08,0.4922
1.38206e-08,0.5141
1.38439e-08,0.5552
1.38671e-08,0.6194
1.38904e-08,0.7031
1.39137e-08,0.7985
1.39369e-08,0.8976
1.39602e-08,0.9913
1.39835e-08,1.0742
1.40067e-08,1.1435
1.40300e-08,1.1994
1.40533e-08,1.2437
1.40765e-08,1.2772
1.40998e-08,1.3009
1.41231e-08,1.3165
1.41463e-08,1.3261
1.41696e-08,1.3310
1.41929e-08,1.3305
1.42161e-08,1.3251
1.42394e-08,1.3162
1.42627e-08,1.3058
1.42859e-08,1.2952
1.43092e-08,1.2849
1.43325e-08,1.2733
1.43557e-08,1.2582
1.43790e-08,1.2382
1.44023e-08,1.2127
1.44255e-08,1.1838
1.44488e-08,1.1552
1.44721e-08,1.1312
1.44953e-08,1.1145
1.45186e-08,1.0978
1.45419e-08,1.0530
1.45651e-08,0.9562
1.45884e-08,0.7939
1.46117e-08,0.6593
1.46349e-08,0.5769
1.46582e-08,0.5268
1.46815e-08,0.5020
1.47047e-08,0.4930
1.47280e-08,0.4921
1.47513e-08,0.4940
1.47745e-08,0.4965
1.47978e-08,0.4978
1.48211e-08,0.4980
1.48443e-08,0.4980
1.48676e-08,0.4991
1.48909e-08,0.5036
1.49141e-08,0.5132
1.49374e-08,0.5266
1.49607e-08,0.5409
1.49839e-08,0.5525
1.50072e-08,0.5599
1.50305e-08,0.5617
1.50537e-08,0.5514
1.50770e-08,0.5236
1.51003e-08,0.4767
1.51236e-08,0.4116
1.51468e-08,0.3350
1.51701e-08,0.2554
1.51934e-08,0.1804
1.52166e-08,0.1168
1.52399e-08,0.0667
1.52632e-08,0.0294
1.52864e-08,0.0022
1.53097e-08,-0.0174
1.53330e-08,-0.0306
1.53562e-08,-0.0393
1.53795e-08,-0.0317
1.54028e-08,0.0034
1.54260e-08,0.1185
1.54493e-08,0.2461
1.54726e-08,0.3354
1.54958e-08,0.4043
1.55191e-08,0.4529
1.55424e-08,0.4803
1.55656e-08,0.4988
1.55889e-08,0.5181
1.56122e-08,0.5433
1.56354e-08,0.5755
1.56587e-08,0.6142
1.56820e-08,0.6535
1.57052e-08,0.6877
1.57285e-08,0.7123
1.57518e-08,0.7251
1.57750e-08,0.7100
1.57983e-08,0.6663
1.58216e-08,0.5285
1.58448e-08,0.3555
1.58681e-08,0.2241
1.58914e-08,0.1220
1.59146e-08,0.0693
1.59379e-08,0.0635
1.59612e-08,0.0903
1.59844e-08,0.1428
1.60077e-08,0.2056
1.60310e-08,0.2706
1.60542e-08,0.3294
1.60775e-08,0.3778
1.61008e-08,0.4147
1.61240e-08,0.4399
1.61473e-08,0.4567
1.61706e-08,0.4669
1.61938e-08,0.4736
1.62171e-08,0.4801
1.62404e-08,0.4893
1.62636e-08,0.5032
1.62869e-08,0.5180
1.63102e-08,0.5242
1.63334e-08,0.5153
1.63567e-08,0.4867
1.63800e-08,0.4375
1.64032e-08,0.3730
1.64265e-08,0.2992
1.64498e-08,0.2226
1.64730e-08,0.1493
1.64963e-08,0.0828
1.65196e-08,0.0258
1.65428e-08,-0.0202
1.65661e-08,-0.0542
1.65894e-08,-0.0761
1.66126e-08,-0.0863
1.66359e-08,-0.0725
1.66592e-08,-0.0210
1.66824e-08,0.1217
1.67057e-08,0.2453
1.67290e-08,0.3466
1.67522e-08,0.4180
1.67755e-08,0.4628
1.67988e-08,0.4871
1.68220e-08,0.4974
1.68453e-08,0.5079
1.68686e-08,0.5249
1.68918e-08,0.5507
1.69151e-08,0.5852
1.69384e-08,0.6231
1.69616e-08,0.6602
1.69849e-08,0.6913
1.70082e-08,0.7141
1.70314e-08,0.7017
1.70547e-08,0.6554
1.70780e-08,0.4952
1.71012e-08,0.3353
1.71245e-08,0.2151
1.71478e-08,0.1277
1.71710e-08,0.0764
1.71943e-08,0.0728
1.72176e-08,0.0999
1.72408e-08,0.1469
1.72641e-08,0.2060
1.72874e-08,0.2690
1.73106e-08,0.3287
1.73339e-08,0.3806
1.73572e-08,0.4214
1.73804e-08,0.4501
1.74037e-08,0.4691
1.74270e-08,0.4798
1.74502e-08,0.4855
1.74735e-08,0.4892
1.74968e-08,0.4943
1.75201e-08,0.5030
1.75433e-08,0.5101
1.75666e-08,0.5078
1.75899e-08,0.4913
1.76131e-08,0.4565
1.76364e-08,0.4045
1.76597e-08,0.3407
1.76829e-08,0.2704
1.77062e-08,0.1996
1.77295e-08,0.1333
1.77527e-08,0.0736
1.77760e-08,0.0221
1.77993e-08,-0.0206
1.78225e-08,-0.0536
1.78458e-08,-0.0765
1.78691e-08,-0.0908
1.78923e-08,-0.0983
1.79156e-08,-0.1004
1.79389e-08,-0.0980
1.79621e-08,-0.0930
1.79854e-08,-0.0883
1.80087e-08,-0.0859
1.80319e-08,-0.0865
1.80552e-08,-0.0893
1.80785e-08,-0.0910
1.81017e-08,-0.0880
1.81250e-08,-0.0780
1.81483e-08,-0.0601
1.81715e-08,-0.0364
1.81948e-08,-0.0106
1.82181e-08,0.0135
1.82413e-08,0.0335
1.82646e-08,0.0486
1.82879e-08,0.0587
1.83111e-08,0.0640
1.83344e-08,0.0649
1.83577e-08,0.0625
1.83809e-08,0.0581
1.84042e-08,0.0523
1.84275e-08,0.0458
1.84507e-08,0.0389
1.84740e-08,0.0321
1.84973e-08,0.0263
1.85205e-08,0.0224
1.85438e-08,0.0209
1.85671e-08,0.0218
1.85903e-08,0.0239
1.86136e-08,0.0250
1.86369e-08,0.0229
1.86601e-08,0.0167
1.86834e-08,0.0072
1.87067e-08,-0.0038
1.87299e-08,-0.0139
1.87532e-08,-0.0216
1.87765e-08,-0.0261
1.87997e-08,-0.0271
1.88230e-08,-0.0254
1.88463e-08,-0.0219
1.88695e-08,-0.0173
1.88928e-08,-0.0127
1.89161e-08,-0.0085
1.89393e-08,-0.0049
1.89626e-08,-0.0020
1.89859e-08,0.0003
1.90091e-08,0.0022
1.90324e-08,0.0036
1.90557e-08,0.0038
1.90789e-08,0.0026
1.91022e-08,0.0004
1.91255e-08,-0.0017
1.91487e-08,-0.0025
1.91720e-08,-0.0012
1.91953e-08,0.0022
1.92185e-08,0.0070
1.92418e-08,0.0117
1.92651e-08,0.0152
1.92883e-08,0.0168
1.93116e-08,0.0163
1.93349e-08,0.0141
1.93581e-08,0.0110
1.93814e-08,0.0075
1.94047e-08,0.0045
1.94279e-08,0.0022
1.94512e-08,0.0008
1.94745e-08,0.0003
1.94977e-08,0.0002
1.95210e-08,0.0002
1.95443e-08,0.0153
1.95675e-08,0.0634
1.95908e-08,0.2046
1.96141e-08,0.3535
1.96373e-08,0.4619
1.96606e-08,0.5389
1.96839e-08,0.5918
1.97071e-08,0.6186
1.97304e-08,0.6299
1.97537e-08,0.6352
1.97769e-08,0.6389
1.98002e-08,0.6429
1.98235e-08,0.6486
1.98468e-08,0.6546
1.98700e-08,0.6604
1.98933e-08,0.6651
1.99166e-08,0.6670
1.99398e-08,0.6656
1.99631e-08,0.6623
1.99864e-08,0.6583
2.00096e-08,0.6540
2.00329e-08,0.6496
2.00562e-08,0.6504
2.00794e-08,0.6620
2.01027e-08,0.6885
2.01260e-08,0.7328
2.01492e-08,0.7936
2.01725e-08,0.8645
2.01958e-08,0.9385
2.02190e-08,1.0081
2.02423e-08,1.0677
2.02656e-08,1.1150
2.02888e-08,1.1502
2.03121e-08,1.1756
2.03354e-08,1.1929
2.03586e-08,1.2040
2.03819e-08,1.2118
2.04052e-08,1.2187
2.04284e-08,1.2261
2.04517e-08,1.2334
2.04750e-08,1.2400
2.04982e-08,1.2460
2.05215e-08,1.2514
2.05448e-08,1.2560
2.05680e-08,1.2592
2.05913e-08,1.2591
2.06146e-08,1.2535
2.06378e-08,1.2414
2.06611e-08,1.2226
2.06844e-08,1.1995
2.07076e-08,1.1758
2.07309e-08,1.1559
2.07542e-08,1.1425
2.07774e-08,1.1090
2.08007e-08,1.0567
2.08240e-08,0.9088
2.08472e-08,0.7608
2.08705e-08,0.6498
2.08938e-08,0.5868
2.09170e-08,0.5476
2.09403e-08,0.5265
2.09636e-08,0.5158
2.09868e-08,0.5084
2.10101e-08,0.5023
2.10334e-08,0.4968
2.10566e-08,0.4916
