.HEADER
..NAMES
Time,V U1.P4
.DATA
8.0736e-09,1.1997
8.0969e-09,1.2009
8.1202e-09,1.2024
8.1435e-09,1.2039
8.1667e-09,1.2047
8.1900e-09,1.2045
8.2133e-09,1.2032
8.2365e-09,1.2014
8.2598e-09,1.1997
8.2831e-09,1.1987
8.3063e-09,1.1986
8.3296e-09,1.1993
8.3529e-09,1.2005
8.3761e-09,1.2020
8.3994e-09,1.2033
8.4227e-09,1.2042
8.4459e-09,1.2046
8.4692e-09,1.2044
8.4925e-09,1.2038
8.5157e-09,1.2030
8.5390e-09,1.2023
8.5623e-09,1.2018
8.5855e-09,1.2015
8.6088e-09,1.2014
8.6321e-09,1.2012
8.6553e-09,1.2009
8.6786e-09,1.2007
8.7019e-09,1.2007
8.7251e-09,1.2012
8.7484e-09,1.2021
8.7717e-09,1.2030
8.7949e-09,1.2036
8.8182e-09,1.2037
8.8415e-09,1.2032
8.8647e-09,1.2023
8.8880e-09,1.2013
8.9113e-09,1.2005
8.9345e-09,1.2001
8.9578e-09,1.2001
8.9811e-09,1.2005
9.0043e-09,1.2011
9.0276e-09,1.2018
9.0509e-09,1.2024
9.0741e-09,1.2028
9.0974e-09,1.2029
9.1207e-09,1.2026
9.1439e-09,1.2023
9.1672e-09,1.2021
9.1905e-09,1.2019
9.2137e-09,1.2019
9.2370e-09,1.2019
9.2603e-09,1.2017
9.2835e-09,1.2014
9.3068e-09,1.1980
9.3301e-09,1.1611
9.3533e-09,1.0859
9.3766e-09,0.9229
9.3999e-09,0.7809
9.4231e-09,0.6854
9.4464e-09,0.6238
9.4697e-09,0.5845
9.4929e-09,0.5599
9.5162e-09,0.5428
9.5395e-09,0.5309
9.5627e-09,0.5213
9.5860e-09,0.5138
9.6093e-09,0.5077
9.6325e-09,0.5036
9.6558e-09,0.5013
9.6791e-09,0.5009
9.7023e-09,0.5033
9.7256e-09,0.5077
9.7489e-09,0.5121
9.7721e-09,0.5136
9.7954e-09,0.5097
9.8187e-09,0.5006
9.8419e-09,0.4853
9.8652e-09,0.4603
9.8885e-09,0.4192
9.9117e-09,0.3608
9.9350e-09,0.2902
9.9583e-09,0.2148
9.9815e-09,0.1439
1.00048e-08,0.0848
1.00281e-08,0.0414
1.00513e-08,0.0128
1.00746e-08,-0.0050
1.00979e-08,-0.0169
1.01211e-08,-0.0270
1.01444e-08,-0.0367
1.01677e-08,-0.0372
1.01909e-08,-0.0134
1.02142e-08,0.0823
1.02375e-08,0.2147
1.02607e-08,0.3210
1.02840e-08,0.3909
1.03073e-08,0.4501
1.03305e-08,0.4944
1.03538e-08,0.5266
1.03771e-08,0.5556
1.04003e-08,0.5852
1.04236e-08,0.6168
1.04469e-08,0.6502
1.04702e-08,0.6830
1.04934e-08,0.7112
1.05167e-08,0.7316
1.05400e-08,0.7400
1.05632e-08,0.7353
1.05865e-08,0.7218
1.06098e-08,0.7058
1.06330e-08,0.6946
1.06563e-08,0.6927
1.06796e-08,0.7008
1.07028e-08,0.7179
1.07261e-08,0.7470
1.07494e-08,0.7916
1.07726e-08,0.8497
1.07959e-08,0.9159
1.08192e-08,0.9828
1.08424e-08,1.0425
1.08657e-08,1.0897
1.08890e-08,1.1228
1.09122e-08,1.1436
1.09355e-08,1.1564
1.09588e-08,1.1654
1.09820e-08,1.1737
1.10053e-08,1.1823
1.10286e-08,1.1918
1.10518e-08,1.2035
1.10751e-08,1.2185
1.10984e-08,1.2357
1.11216e-08,1.2519
1.11449e-08,1.2624
1.11682e-08,1.2644
1.11914e-08,1.2585
1.12147e-08,1.2468
1.12380e-08,1.2313
1.12612e-08,1.2135
1.12845e-08,1.1947
1.13078e-08,1.1761
1.13310e-08,1.1597
1.13543e-08,1.1474
1.13776e-08,1.1415
1.14008e-08,1.1434
1.14241e-08,1.1520
1.14474e-08,1.1640
1.14706e-08,1.1754
1.14939e-08,1.1830
1.15172e-08,1.1861
1.15404e-08,1.1858
1.15637e-08,1.1835
1.15870e-08,1.1800
1.16102e-08,1.1761
1.16335e-08,1.1729
1.16568e-08,1.1721
1.16800e-08,1.1751
1.17033e-08,1.1819
1.17266e-08,1.1918
1.17498e-08,1.2028
1.17731e-08,1.2130
1.17964e-08,1.2207
1.18196e-08,1.2027
1.18429e-08,1.1516
1.18662e-08,1.0141
1.18894e-08,0.8535
1.19127e-08,0.7378
1.19360e-08,0.6593
1.19592e-08,0.6041
1.19825e-08,0.5660
1.20058e-08,0.5423
1.20290e-08,0.5282
1.20523e-08,0.5209
1.20756e-08,0.5168
1.20988e-08,0.5144
1.21221e-08,0.5122
1.21454e-08,0.5103
1.21686e-08,0.5079
1.21919e-08,0.5066
1.22152e-08,0.5065
1.22384e-08,0.5065
1.22617e-08,0.5046
1.22850e-08,0.4989
1.23082e-08,0.4896
1.23315e-08,0.4774
1.23548e-08,0.4595
1.23780e-08,0.4296
1.24013e-08,0.3820
1.24246e-08,0.3194
1.24478e-08,0.2481
1.24711e-08,0.1769
1.24944e-08,0.1142
1.25176e-08,0.0647
1.25409e-08,0.0293
1.25642e-08,0.0051
1.25874e-08,-0.0121
1.26107e-08,-0.0258
1.26340e-08,-0.0375
1.26572e-08,-0.0473
1.26805e-08,-0.0546
1.27038e-08,-0.0605
1.27270e-08,-0.0659
1.27503e-08,-0.0709
1.27736e-08,-0.0741
1.27968e-08,-0.0736
1.28201e-08,-0.0691
1.28434e-08,-0.0621
1.28667e-08,-0.0535
1.28899e-08,-0.0423
1.29132e-08,-0.0275
1.29365e-08,-0.0086
1.29597e-08,0.0132
1.29830e-08,0.0350
1.30063e-08,0.0528
1.30295e-08,0.0630
1.30528e-08,0.0642
1.30761e-08,0.0578
1.30993e-08,0.0476
1.31226e-08,0.0380
