.HEADER
..NAMES
Time,V U1.M1
.DATA
9.1439e-09,1.2003
9.1672e-09,1.2011
9.1905e-09,1.2016
9.2137e-09,1.2019
9.2370e-09,1.2018
9.2603e-09,1.2013
9.2835e-09,1.2008
9.3068e-09,1.2001
9.3301e-09,1.1996
9.3533e-09,1.1993
9.3766e-09,1.1992
9.3999e-09,1.1993
9.4231e-09,1.1996
9.4464e-09,1.1998
9.4697e-09,1.2000
9.4929e-09,1.2002
9.5162e-09,1.2004
9.5395e-09,1.2006
9.5627e-09,1.2009
9.5860e-09,1.2011
9.6093e-09,1.2012
9.6325e-09,1.2011
9.6558e-09,1.2009
9.6791e-09,1.2005
9.7023e-09,1.2001
9.7256e-09,1.1996
9.7489e-09,1.1994
9.7721e-09,1.1993
9.7954e-09,1.1995
9.8187e-09,1.1999
9.8419e-09,1.2003
9.8652e-09,1.2006
9.8885e-09,1.2009
9.9117e-09,1.2009
9.9350e-09,1.2009
9.9583e-09,1.2007
9.9815e-09,1.2006
1.00048e-08,1.2004
1.00281e-08,1.2003
1.00513e-08,1.2002
1.00746e-08,1.2001
1.00979e-08,1.2001
1.01211e-08,1.2000
1.01444e-08,1.1923
1.01677e-08,1.1500
1.01909e-08,1.0562
1.02142e-08,0.8828
1.02375e-08,0.7415
1.02607e-08,0.6467
1.02840e-08,0.5827
1.03073e-08,0.5489
1.03305e-08,0.5349
1.03538e-08,0.5279
1.03771e-08,0.5247
1.04003e-08,0.5250
1.04236e-08,0.5230
1.04469e-08,0.5175
1.04702e-08,0.5125
1.04934e-08,0.5089
1.05167e-08,0.5043
1.05400e-08,0.4997
1.05632e-08,0.4986
1.05865e-08,0.5021
1.06098e-08,0.5066
1.06330e-08,0.5111
1.06563e-08,0.5150
1.06796e-08,0.5144
1.07028e-08,0.5051
1.07261e-08,0.4842
1.07494e-08,0.4499
1.07726e-08,0.4010
1.07959e-08,0.3393
1.08192e-08,0.2701
1.08424e-08,0.1995
1.08657e-08,0.1334
1.08890e-08,0.0763
1.09122e-08,0.0309
1.09355e-08,-0.0023
1.09588e-08,-0.0248
1.09820e-08,-0.0397
1.10053e-08,-0.0362
1.10286e-08,-0.0059
1.10518e-08,0.1177
1.10751e-08,0.2595
1.10984e-08,0.3756
1.11216e-08,0.4559
1.11449e-08,0.5139
1.11682e-08,0.5386
1.11914e-08,0.5459
1.12147e-08,0.5468
1.12380e-08,0.5444
1.12612e-08,0.5434
1.12845e-08,0.5519
1.13078e-08,0.5692
1.13310e-08,0.5919
1.13543e-08,0.6201
1.13776e-08,0.6523
1.14008e-08,0.6824
1.14241e-08,0.7045
1.14474e-08,0.7172
1.14706e-08,0.7215
1.14939e-08,0.7184
1.15172e-08,0.7121
1.15404e-08,0.7077
1.15637e-08,0.7109
1.15870e-08,0.7257
1.16102e-08,0.7547
1.16335e-08,0.7988
1.16568e-08,0.8557
1.16800e-08,0.9202
1.17033e-08,0.9867
1.17266e-08,1.0500
1.17498e-08,1.1060
1.17731e-08,1.1514
1.17964e-08,1.1848
1.18196e-08,1.1841
1.18429e-08,1.1430
1.18662e-08,1.0079
1.18894e-08,0.8417
1.19127e-08,0.7169
1.19360e-08,0.6277
1.19592e-08,0.5714
1.19825e-08,0.5434
1.20058e-08,0.5359
1.20290e-08,0.5381
1.20523e-08,0.5483
1.20756e-08,0.5607
1.20988e-08,0.5673
1.21221e-08,0.5674
1.21454e-08,0.5623
1.21686e-08,0.5497
1.21919e-08,0.5299
1.22152e-08,0.5072
1.22384e-08,0.4874
1.22617e-08,0.4720
1.22850e-08,0.4606
1.23082e-08,0.4547
1.23315e-08,0.4525
1.23548e-08,0.4496
1.23780e-08,0.4417
1.24013e-08,0.4249
1.24246e-08,0.3957
1.24478e-08,0.3529
1.24711e-08,0.2986
1.24944e-08,0.2374
1.25176e-08,0.1745
1.25409e-08,0.1146
1.25642e-08,0.0615
1.25874e-08,0.0174
1.26107e-08,-0.0170
1.26340e-08,-0.0425
1.26572e-08,-0.0571
1.26805e-08,-0.0459
1.27038e-08,0.0174
1.27270e-08,0.1594
1.27503e-08,0.3038
1.27736e-08,0.4095
1.27968e-08,0.4971
1.28201e-08,0.5497
1.28434e-08,0.5712
1.28667e-08,0.5783
1.28899e-08,0.5765
1.29132e-08,0.5702
1.29365e-08,0.5662
1.29597e-08,0.5710
1.29830e-08,0.5830
1.30063e-08,0.6011
1.30295e-08,0.6255
1.30528e-08,0.6537
1.30761e-08,0.6795
1.30993e-08,0.6982
1.31226e-08,0.7100
1.31459e-08,0.7151
1.31691e-08,0.7150
1.31924e-08,0.7134
1.32157e-08,0.7149
1.32389e-08,0.7237
1.32622e-08,0.7427
1.32855e-08,0.7741
1.33087e-08,0.8187
1.33320e-08,0.8741
1.33553e-08,0.9357
1.33785e-08,0.9992
1.34018e-08,1.0601
1.34251e-08,1.1143
1.34483e-08,1.1585
1.34716e-08,1.1914
1.34949e-08,1.2136
1.35181e-08,1.2262
1.35414e-08,1.2304
1.35647e-08,1.2283
1.35879e-08,1.2226
1.36112e-08,1.2159
1.36345e-08,1.2105
1.36577e-08,1.2083
1.36810e-08,1.2107
1.37043e-08,1.2172
1.37275e-08,1.2260
1.37508e-08,1.2350
1.37741e-08,1.2422
1.37973e-08,1.2453
1.38206e-08,1.2425
1.38439e-08,1.2338
1.38671e-08,1.2204
1.38904e-08,1.2037
1.39137e-08,1.1855
1.39369e-08,1.1682
1.39602e-08,1.1540
1.39835e-08,1.1442
1.40067e-08,1.1394
1.40300e-08,1.1399
1.40533e-08,1.1450
1.40765e-08,1.1534
1.40998e-08,1.1635
1.41231e-08,1.1745
1.41463e-08,1.1850
