.HEADER
..NAMES
Time,V U1.H1
.DATA
1.48211e-08,0.5022
1.48443e-08,0.5048
1.48676e-08,0.5042
1.48909e-08,0.4953
1.49141e-08,0.4745
1.49374e-08,0.4406
1.49607e-08,0.3952
1.49839e-08,0.3414
1.50072e-08,0.2836
1.50305e-08,0.2242
1.50537e-08,0.1647
1.50770e-08,0.1068
1.51003e-08,0.0534
1.51236e-08,0.0088
1.51468e-08,-0.0253
1.51701e-08,-0.0499
1.51934e-08,-0.0666
1.52166e-08,-0.0754
1.52399e-08,-0.0754
1.52632e-08,-0.0687
1.52864e-08,-0.0606
1.53097e-08,-0.0559
1.53330e-08,-0.0560
1.53562e-08,-0.0589
1.53795e-08,-0.0633
1.54028e-08,-0.0692
1.54260e-08,-0.0762
1.54493e-08,-0.0816
1.54726e-08,-0.0821
1.54958e-08,-0.0767
1.55191e-08,-0.0676
1.55424e-08,-0.0568
1.55656e-08,-0.0443
1.55889e-08,-0.0285
1.56122e-08,-0.0097
1.56354e-08,0.0098
1.56587e-08,0.0272
1.56820e-08,0.0412
1.57052e-08,0.0518
1.57285e-08,0.0583
1.57518e-08,0.0596
1.57750e-08,0.0549
1.57983e-08,0.0457
1.58216e-08,0.0347
1.58448e-08,0.0245
1.58681e-08,0.0166
1.58914e-08,0.0116
1.59146e-08,0.0093
1.59379e-08,0.0095
1.59612e-08,0.0113
1.59844e-08,0.0142
1.60077e-08,0.0172
1.60310e-08,0.0197
1.60542e-08,0.0213
1.60775e-08,0.0218
1.61008e-08,0.0210
1.61240e-08,0.0186
1.61473e-08,0.0140
1.61706e-08,0.0069
1.61938e-08,-0.0018
1.62171e-08,-0.0107
1.62404e-08,-0.0182
1.62636e-08,-0.0236
1.62869e-08,-0.0264
1.63102e-08,-0.0264
1.63334e-08,-0.0232
1.63567e-08,-0.0173
1.63800e-08,-0.0105
1.64032e-08,-0.0045
1.64265e-08,-0.0001
1.64498e-08,0.0030
1.64730e-08,0.0054
1.64963e-08,0.0069
1.65196e-08,0.0069
1.65428e-08,0.0054
1.65661e-08,0.0031
1.65894e-08,0.0004
1.66126e-08,-0.0025
1.66359e-08,-0.0054
1.66592e-08,-0.0078
1.66824e-08,-0.0088
1.67057e-08,-0.0076
1.67290e-08,-0.0045
1.67522e-08,-0.0002
1.67755e-08,0.0044
1.67988e-08,0.0086
1.68220e-08,0.0149
1.68453e-08,0.0415
1.68686e-08,0.1277
1.68918e-08,0.2780
1.69151e-08,0.4204
1.69384e-08,0.5152
1.69616e-08,0.5941
1.69849e-08,0.6456
1.70082e-08,0.6673
1.70314e-08,0.6696
1.70547e-08,0.6638
1.70780e-08,0.6608
1.71012e-08,0.6589
1.71245e-08,0.6558
1.71478e-08,0.6522
1.71710e-08,0.6524
1.71943e-08,0.6576
