.HEADER
..NAMES
Time,V U1.W2
.DATA
1.21919e-08,-0.0578
1.22152e-08,-0.0112
1.22384e-08,0.0611
1.22617e-08,0.1442
1.22850e-08,0.2286
1.23082e-08,0.3098
1.23315e-08,0.3830
1.23548e-08,0.4458
1.23780e-08,0.4983
1.24013e-08,0.5412
1.24246e-08,0.5738
1.24478e-08,0.6010
1.24711e-08,0.6600
1.24944e-08,0.8400
1.25176e-08,1.0376
1.25409e-08,1.1784
1.25642e-08,1.2594
1.25874e-08,1.2817
1.26107e-08,1.2612
1.26340e-08,1.2109
1.26572e-08,1.1378
1.26805e-08,1.0544
1.27038e-08,0.9673
1.27270e-08,0.8813
1.27503e-08,0.8011
1.27736e-08,0.7292
1.27968e-08,0.6677
1.28201e-08,0.6164
1.28434e-08,0.5743
1.28667e-08,0.5420
1.28899e-08,0.5194
1.29132e-08,0.5054
1.29365e-08,0.4960
1.29597e-08,0.4908
1.29830e-08,0.4991
1.30063e-08,0.5263
1.30295e-08,0.5728
1.30528e-08,0.6408
1.30761e-08,0.7268
1.30993e-08,0.8211
1.31226e-08,0.9165
1.31459e-08,1.0075
1.31691e-08,1.0882
1.31924e-08,1.1569
1.32157e-08,1.2138
1.32389e-08,1.2584
1.32622e-08,1.2890
1.32855e-08,1.2759
1.33087e-08,1.2242
1.33320e-08,1.0779
1.33553e-08,0.9349
1.33785e-08,0.8247
1.34018e-08,0.7507
1.34251e-08,0.6968
1.34483e-08,0.6622
1.34716e-08,0.6378
1.34949e-08,0.6199
1.35181e-08,0.6040
1.35414e-08,0.5847
1.35647e-08,0.5599
1.35879e-08,0.5308
1.36112e-08,0.4993
1.36345e-08,0.4690
1.36577e-08,0.4449
1.36810e-08,0.4279
1.37043e-08,0.4174
1.37275e-08,0.4126
1.37508e-08,0.4139
1.37741e-08,0.4206
1.37973e-08,0.4275
1.38206e-08,0.4253
1.38439e-08,0.4085
1.38671e-08,0.3766
1.38904e-08,0.3304
1.39137e-08,0.2738
1.39369e-08,0.2140
1.39602e-08,0.1571
1.39835e-08,0.1057
1.40067e-08,0.0618
1.40300e-08,0.0268
1.40533e-08,0.0008
1.40765e-08,-0.0155
1.40998e-08,-0.0225
1.41231e-08,-0.0237
1.41463e-08,-0.0231
1.41696e-08,-0.0229
1.41929e-08,-0.0233
1.42161e-08,-0.0251
1.42394e-08,-0.0294
1.42627e-08,-0.0368
1.42859e-08,-0.0470
1.43092e-08,-0.0580
1.43325e-08,-0.0673
1.43557e-08,-0.0716
1.43790e-08,-0.0679
1.44023e-08,-0.0554
1.44255e-08,-0.0365
1.44488e-08,-0.0149
1.44721e-08,0.0059
1.44953e-08,0.0234
1.45186e-08,0.0368
1.45419e-08,0.0458
1.45651e-08,0.0494
1.45884e-08,0.0477
1.46117e-08,0.0421
1.46349e-08,0.0345
1.46582e-08,0.0266
1.46815e-08,0.0197
1.47047e-08,0.0146
1.47280e-08,0.0115
1.47513e-08,0.0103
1.47745e-08,0.0108
1.47978e-08,0.0133
1.48211e-08,0.0179
1.48443e-08,0.0235
1.48676e-08,0.0279
1.48909e-08,0.0289
1.49141e-08,0.0255
1.49374e-08,0.0180
1.49607e-08,0.0210
1.49839e-08,0.0579
1.50072e-08,0.1750
1.50305e-08,0.3154
1.50537e-08,0.4183
1.50770e-08,0.5021
1.51003e-08,0.5622
1.51236e-08,0.5975
1.51468e-08,0.6207
1.51701e-08,0.6363
1.51934e-08,0.6469
1.52166e-08,0.6546
1.52399e-08,0.6608
1.52632e-08,0.6651
1.52864e-08,0.6678
1.53097e-08,0.6689
1.53330e-08,0.6665
1.53562e-08,0.6469
1.53795e-08,0.6056
1.54028e-08,0.4868
1.54260e-08,0.3299
1.54493e-08,0.1966
1.54726e-08,0.0941
1.54958e-08,0.0380
1.55191e-08,0.0322
1.55424e-08,0.0549
1.55656e-08,0.1026
1.55889e-08,0.1658
1.56122e-08,0.2324
1.56354e-08,0.2951
1.56587e-08,0.3501
1.56820e-08,0.3954
1.57052e-08,0.4312
1.57285e-08,0.4601
1.57518e-08,0.4838
1.57750e-08,0.5030
1.57983e-08,0.5407
1.58216e-08,0.6843
1.58448e-08,0.9003
1.58681e-08,1.0650
1.58914e-08,1.1694
1.59146e-08,1.2110
1.59379e-08,1.2098
1.59612e-08,1.1733
1.59844e-08,1.1109
1.60077e-08,1.0351
1.60310e-08,0.9561
1.60542e-08,0.8787
1.60775e-08,0.8059
1.61008e-08,0.7402
1.61240e-08,0.6830
1.61473e-08,0.6346
1.61706e-08,0.5953
1.61938e-08,0.5475
1.62171e-08,0.4872
1.62404e-08,0.3450
1.62636e-08,0.1834
1.62869e-08,0.0661
1.63102e-08,-0.0256
1.63334e-08,-0.0676
1.63567e-08,-0.0615
1.63800e-08,-0.0184
1.64032e-08,0.0503
1.64265e-08,0.1318
1.64498e-08,0.2166
1.64730e-08,0.3000
1.64963e-08,0.3766
1.65196e-08,0.4433
1.65428e-08,0.4994
1.65661e-08,0.5455
1.65894e-08,0.5812
1.66126e-08,0.6075
1.66359e-08,0.6256
1.66592e-08,0.6370
1.66824e-08,0.6431
1.67057e-08,0.6423
1.67290e-08,0.6289
1.67522e-08,0.6001
1.67755e-08,0.5570
1.67988e-08,0.4990
1.68220e-08,0.4278
1.68453e-08,0.3501
1.68686e-08,0.2699
1.68918e-08,0.1905
1.69151e-08,0.1168
1.69384e-08,0.0514
1.69616e-08,-0.0041
1.69849e-08,-0.0478
1.70082e-08,-0.0795
1.70314e-08,-0.0985
1.70547e-08,-0.0913
1.70780e-08,-0.0460
1.71012e-08,0.0839
1.71245e-08,0.1947
1.71478e-08,0.2902
1.71710e-08,0.3675
1.71943e-08,0.4223
1.72176e-08,0.4581
1.72408e-08,0.4832
1.72641e-08,0.5030
1.72874e-08,0.5253
1.73106e-08,0.5512
1.73339e-08,0.5811
1.73572e-08,0.6134
1.73804e-08,0.6462
1.74037e-08,0.6764
1.74270e-08,0.7018
1.74502e-08,0.7212
1.74735e-08,0.7343
1.74968e-08,0.7412
1.75201e-08,0.7424
1.75433e-08,0.7390
1.75666e-08,0.7352
1.75899e-08,0.7381
1.76131e-08,0.7517
1.76364e-08,0.7777
1.76597e-08,0.8183
1.76829e-08,0.8705
1.77062e-08,0.9284
1.77295e-08,0.9875
1.77527e-08,1.0428
1.77760e-08,1.0899
1.77993e-08,1.1269
1.78225e-08,1.1536
1.78458e-08,1.1705
1.78691e-08,1.1793
1.78923e-08,1.1836
1.79156e-08,1.1864
1.79389e-08,1.1896
1.79621e-08,1.1936
1.79854e-08,1.1987
1.80087e-08,1.2055
1.80319e-08,1.2146
1.80552e-08,1.2253
1.80785e-08,1.2361
1.81017e-08,1.2455
1.81250e-08,1.2510
1.81483e-08,1.2499
1.81715e-08,1.2419
1.81948e-08,1.2279
1.82181e-08,1.2096
1.82413e-08,1.1904
1.82646e-08,1.1730
1.82879e-08,1.1593
1.83111e-08,1.1509
1.83344e-08,1.1487
1.83577e-08,1.1522
1.83809e-08,1.1597
1.84042e-08,1.1689
1.84275e-08,1.1779
1.84507e-08,1.1852
1.84740e-08,1.1901
1.84973e-08,1.1928
1.85205e-08,1.1935
1.85438e-08,1.1926
1.85671e-08,1.1903
1.85903e-08,1.1868
1.86136e-08,1.1829
1.86369e-08,1.1800
1.86601e-08,1.1793
1.86834e-08,1.1744
1.87067e-08,1.1371
1.87299e-08,1.0511
1.87532e-08,0.8929
1.87765e-08,0.7581
1.87997e-08,0.6730
1.88230e-08,0.6154
1.88463e-08,0.5820
1.88695e-08,0.5608
1.88928e-08,0.5447
1.89161e-08,0.5318
1.89393e-08,0.5209
1.89626e-08,0.5110
1.89859e-08,0.5037
1.90091e-08,0.4991
1.90324e-08,0.4970
1.90557e-08,0.4973
1.90789e-08,0.5005
1.91022e-08,0.5057
1.91255e-08,0.5114
1.91487e-08,0.5155
1.91720e-08,0.5185
1.91953e-08,0.5202
1.92185e-08,0.5155
