.HEADER
..NAMES
Time,V U1.E1&E2
.DATA
1.00979e-08,0.5321
1.01211e-08,0.5286
1.01444e-08,0.5225
1.01677e-08,0.5336
1.01909e-08,0.6215
1.02142e-08,0.8223
1.02375e-08,0.9916
1.02607e-08,1.1014
1.02840e-08,1.1761
1.03073e-08,1.2284
1.03305e-08,1.2567
1.03538e-08,1.2555
1.03771e-08,1.2313
1.04003e-08,1.2077
1.04236e-08,1.1962
1.04469e-08,1.1952
1.04702e-08,1.1964
1.04934e-08,1.1928
1.05167e-08,1.1871
1.05400e-08,1.1867
1.05632e-08,1.1794
1.05865e-08,1.1361
1.06098e-08,1.0282
1.06330e-08,0.8536
1.06563e-08,0.7222
1.06796e-08,0.6383
1.07028e-08,0.5793
1.07261e-08,0.5363
1.07494e-08,0.5126
1.07726e-08,0.5132
1.07959e-08,0.5303
1.08192e-08,0.5443
1.08424e-08,0.5478
1.08657e-08,0.5417
1.08890e-08,0.5341
1.09122e-08,0.5319
1.09355e-08,0.5319
1.09588e-08,0.5273
1.09820e-08,0.5216
1.10053e-08,0.5412
1.10286e-08,0.6540
1.10518e-08,0.8712
1.10751e-08,1.0137
1.10984e-08,1.1203
1.11216e-08,1.1902
1.11449e-08,1.2357
1.11682e-08,1.2587
1.11914e-08,1.2519
1.12147e-08,1.2261
1.12380e-08,1.2045
1.12612e-08,1.1954
1.12845e-08,1.1957
1.13078e-08,1.1962
1.13310e-08,1.1916
1.13543e-08,1.1865
1.13776e-08,1.1874
1.14008e-08,1.1725
1.14241e-08,1.1245
1.14474e-08,0.9925
1.14706e-08,0.8198
1.14939e-08,0.7016
1.15172e-08,0.6247
1.15404e-08,0.5699
1.15637e-08,0.5299
1.15870e-08,0.5106
1.16102e-08,0.5160
1.16335e-08,0.5339
1.16568e-08,0.5459
1.16800e-08,0.5472
1.17033e-08,0.5400
1.17266e-08,0.5333
1.17498e-08,0.5319
1.17731e-08,0.5314
1.17964e-08,0.5260
1.18196e-08,0.5226
1.18429e-08,0.5519
1.18662e-08,0.6931
1.18894e-08,0.9008
1.19127e-08,1.0371
1.19360e-08,1.1373
1.19592e-08,1.1994
1.19825e-08,1.2432
1.20058e-08,1.2600
1.20290e-08,1.2474
1.20523e-08,1.2210
1.20756e-08,1.2018
1.20988e-08,1.1950
1.21221e-08,1.1961
1.21454e-08,1.1957
1.21686e-08,1.1903
1.21919e-08,1.1861
1.22152e-08,1.1881
1.22384e-08,1.1650
1.22617e-08,1.1064
1.22850e-08,0.9528
1.23082e-08,0.7926
1.23315e-08,0.6850
1.23548e-08,0.6129
1.23780e-08,0.5611
1.24013e-08,0.5245
1.24246e-08,0.5099
1.24478e-08,0.5194
1.24711e-08,0.5369
1.24944e-08,0.5469
1.25176e-08,0.5462
1.25409e-08,0.5385
1.25642e-08,0.5327
1.25874e-08,0.5321
1.26107e-08,0.5307
1.26340e-08,0.5247
1.26572e-08,0.5248
1.26805e-08,0.5705
1.27038e-08,0.7378
1.27270e-08,0.9331
1.27503e-08,1.0556
1.27736e-08,1.1506
1.27968e-08,1.2109
1.28201e-08,1.2478
1.28434e-08,1.2595
1.28667e-08,1.2424
1.28899e-08,1.2164
1.29132e-08,1.1996
1.29365e-08,1.1949
1.29597e-08,1.1964
1.29830e-08,1.1949
1.30063e-08,1.1891
1.30295e-08,1.1861
1.30528e-08,1.1879
1.30761e-08,1.1564
1.30993e-08,1.0878
1.31226e-08,0.9188
1.31459e-08,0.7674
1.31691e-08,0.6686
1.31924e-08,0.6005
1.32157e-08,0.5521
1.32389e-08,0.5199
1.32622e-08,0.5101
1.32855e-08,0.5230
1.33087e-08,0.5396
1.33320e-08,0.5476
1.33553e-08,0.5450
1.33785e-08,0.5370
1.34018e-08,0.5324
1.34251e-08,0.5323
1.34483e-08,0.5297
1.34716e-08,0.5235
1.34949e-08,0.5279
1.35181e-08,0.5892
1.35414e-08,0.7790
1.35647e-08,0.9597
1.35879e-08,1.0820
1.36112e-08,1.1627
1.36345e-08,1.2188
1.36577e-08,1.2531
1.36810e-08,1.2582
1.37043e-08,1.2372
1.37275e-08,1.2122
1.37508e-08,1.1980
1.37741e-08,1.1951
1.37973e-08,1.1966
1.38206e-08,1.1940
1.38439e-08,1.1880
1.38671e-08,1.1863
1.38904e-08,1.1844
1.39137e-08,1.1480
1.39369e-08,1.0620
1.39602e-08,0.8853
1.39835e-08,0.7450
1.40067e-08,0.6534
1.40300e-08,0.5895
1.40533e-08,0.5444
1.40765e-08,0.5157
1.40998e-08,0.5113
1.41231e-08,0.5267
1.41463e-08,0.5422
1.41696e-08,0.5479
1.41929e-08,0.5435
1.42161e-08,0.5357
1.42394e-08,0.5322
1.42627e-08,0.5322
1.42859e-08,0.5286
1.43092e-08,0.5225
1.43325e-08,0.5336
1.43557e-08,0.6186
1.43790e-08,0.8194
1.44023e-08,0.9847
1.44255e-08,1.0978
1.44488e-08,1.1740
1.44721e-08,1.2273
1.44953e-08,1.2562
1.45186e-08,1.2554
1.45419e-08,1.2318
1.45651e-08,1.2085
1.45884e-08,1.1967
1.46117e-08,1.1954
1.46349e-08,1.1965
1.46582e-08,1.1929
1.46815e-08,1.1871
1.47047e-08,1.1867
1.47280e-08,1.1797
1.47513e-08,1.1367
1.47745e-08,1.0294
1.47978e-08,0.8530
1.48211e-08,0.7222
1.48443e-08,0.6390
1.48676e-08,0.5795
1.48909e-08,0.5364
1.49141e-08,0.5129
1.49374e-08,0.5135
1.49607e-08,0.5306
1.49839e-08,0.5443
1.50072e-08,0.5479
1.50305e-08,0.5420
1.50537e-08,0.5345
1.50770e-08,0.5322
1.51003e-08,0.5320
1.51236e-08,0.5273
1.51468e-08,0.5216
1.51701e-08,0.5410
1.51934e-08,0.6504
1.52166e-08,0.8653
1.52399e-08,1.0079
1.52632e-08,1.1154
1.52864e-08,1.1895
1.53097e-08,1.2347
1.53330e-08,1.2583
1.53562e-08,1.2520
1.53795e-08,1.2267
1.54028e-08,1.2052
1.54260e-08,1.1959
1.54493e-08,1.1959
1.54726e-08,1.1962
1.54958e-08,1.1916
1.55191e-08,1.1865
1.55424e-08,1.1874
1.55656e-08,1.1728
1.55889e-08,1.1252
1.56122e-08,0.9934
1.56354e-08,0.8190
1.56587e-08,0.7024
1.56820e-08,0.6246
1.57052e-08,0.5700
1.57285e-08,0.5299
1.57518e-08,0.5108
1.57750e-08,0.5162
1.57983e-08,0.5340
1.58216e-08,0.5460
1.58448e-08,0.5474
1.58681e-08,0.5403
1.58914e-08,0.5337
1.59146e-08,0.5322
1.59379e-08,0.5315
1.59612e-08,0.5260
1.59844e-08,0.5225
1.60077e-08,0.5519
1.60310e-08,0.6906
1.60542e-08,0.8954
1.60775e-08,1.0341
1.61008e-08,1.1331
1.61240e-08,1.1988
1.61473e-08,1.2422
1.61706e-08,1.2596
1.61938e-08,1.2476
1.62171e-08,1.2217
1.62404e-08,1.2024
1.62636e-08,1.1954
1.62869e-08,1.1962
1.63102e-08,1.1957
1.63334e-08,1.1904
1.63567e-08,1.1861
1.63800e-08,1.1881
1.64032e-08,1.1653
1.64265e-08,1.1058
1.64498e-08,0.9529
1.64730e-08,0.7923
1.64963e-08,0.6857
1.65196e-08,0.6128
1.65428e-08,0.5611
1.65661e-08,0.5246
1.65894e-08,0.5100
1.66126e-08,0.5196
